순위,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,페디,NC,2.00,30,20,0,0,0,0,11,200,118,1.69
2,안우진,키움,2.39,24,9,0,0,0,0,8,127,152,0.84
3,뷰캐넌,삼성,2.54,30,12,0,1,0,0,12,252,162,1.56
4,후라도,키움,2.65,30,11,0,0,0,0,9,216,182,1.19
5,알칸타라,두산,2.67,31,13,0,0,0,0,8,194,200,0.97
6,고영표,KT,2.78,27,12,0,1,0,0,16,227,154,1.47
7,원태인,삼성,3.24,26,7,0,0,0,0,10,147,183,0.80
8,반즈,롯데,3.28,30,11,0,0,0,0,13,176,160,1.10
9,임찬규,LG,3.42,26,14,0,1,0,0,9,165,156,1.06
10,박세웅,롯데,3.45,27,9,0,0,0,0,9,177,137,1.29
11,김광현,SSG,3.53,30,9,0,0,0,0,19,179,174,1.03
12,벤자민,KT,3.54,29,15,0,0,0,0,4,158,163,0.97
13,양현종,KIA,3.58,29,9,0,0,0,0,11,172,182,0.95
14,페냐,한화,3.60,32,11,0,0,0,0,11,189,179,1.06
15,켈리,LG,3.83,30,10,0,0,0,0,17,172,211,0.82
16,최원태,LG,4.30,26,9,0,0,0,0,6,142,160,0.89
17,오원석,SSG,5.23,27,7,1,1,0,0,17,159,160,0.99
