순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,LG,3.67,144,86,56,37,92,0.606,1293 1/3,1266,74,491,76,977,610,527,1.36
2,NC,3.83,144,75,67,33,88,0.528,1281 1/3,1160,99,513,62,1090,617,545,1.31
3,두산,3.92,144,74,68,41,70,0.521,1284 2/3,1245,90,501,82,1013,625,560,1.36
4,KT,3.94,144,79,62,39,61,0.560,1287,1326,83,413,50,968,616,564,1.35
5,KIA,4.13,144,73,69,33,66,0.514,1269,1244,89,564,59,980,650,583,1.42
6,롯데,4.15,144,68,76,35,82,0.472,1272 1/3,1328,80,532,82,1070,660,586,1.46
7,SSG,4.37,144,76,65,46,71,0.539,1288 1/3,1354,104,612,67,974,698,626,1.53
8,한화,4.38,144,58,80,20,68,0.420,1291 2/3,1292,101,518,103,1037,708,628,1.40
9,키움,4.42,144,58,83,33,61,0.411,1288 1/3,1340,84,532,63,962,710,632,1.45
10,삼성,4.60,144,61,82,38,69,0.427,1278 1/3,1414,120,464,52,899,728,654,1.47
