순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,박해민,LG,중견수,142,136,1187 2/3,3,0,338,2,1,0.991,0,0,0,-
2,이재현,삼성,유격수,140,135,1156 1/3,20,0,222,341,70,0.966,0,0,0,-
3,정수빈,두산,중견수,135,131,1111,0,0,318,8,2,1.000,0,0,0,-
4,김상수,KT,유격수,129,123,1020 1/3,6,0,176,259,54,0.986,0,0,0,-
5,박성한,SSG,유격수,128,124,1090 1/3,19,0,218,368,90,0.969,0,0,0,-
5,문보경,LG,3루수,128,126,1090 2/3,20,0,104,183,24,0.935,0,0,0,-
5,박동원,LG,포수,128,112,982,8,4,751,72,9,0.990,8,83,19,18.6
5,박찬호,KIA,유격수,128,121,1042 2/3,14,0,206,303,68,0.973,0,0,0,-
9,김주원,NC,유격수,127,122,1030,29,0,177,313,67,0.944,0,0,0,-
10,김혜성,키움,2루수,126,124,1067,15,0,247,374,79,0.976,0,0,0,-
10,허경민,두산,3루수,126,116,997 2/3,5,0,90,155,15,0.980,0,0,0,-
12,오지환,LG,유격수,125,115,1010 2/3,14,0,176,275,64,0.970,0,0,0,-
12,김민석,롯데,중견수,125,107,933 2/3,1,0,243,3,0,0.996,0,0,0,-
14,노시환,한화,3루수,122,121,1065 2/3,19,0,114,228,20,0.947,0,0,0,-
15,김민식,SSG,포수,121,87,786 2/3,1,4,601,62,7,0.998,6,65,18,21.7
16,최재훈,한화,포수,120,106,884 1/3,3,2,704,67,4,0.996,6,60,27,31.0
17,장성우,KT,포수,116,104,886,6,0,719,43,10,0.992,2,76,13,14.6
18,최정,SSG,3루수,114,112,934 1/3,13,0,70,175,24,0.950,0,0,0,-
18,오스틴,LG,1루수,114,113,930 1/3,14,0,832,72,88,0.985,0,0,0,-
18,김선빈,KIA,2루수,114,111,895 1/3,7,0,180,270,74,0.985,0,0,0,-
18,박민우,NC,2루수,114,108,874 2/3,15,0,196,264,56,0.968,0,0,0,-
22,소크라테스,KIA,중견수,113,106,827 1/3,2,0,249,2,0,0.992,0,0,0,-
23,알포드,KT,좌익수,112,108,858,3,0,209,5,1,0.986,0,0,0,-
24,양석환,두산,1루수,111,111,920 2/3,10,0,785,64,69,0.988,0,0,0,-
25,최지훈,SSG,중견수,109,100,871 2/3,3,0,225,3,1,0.987,0,0,0,-
25,유강남,롯데,포수,109,98,821,4,0,714,60,2,0.995,9,71,20,22.0
27,황재균,KT,3루수,107,103,895,11,0,82,162,14,0.957,0,0,0,-
27,노진혁,롯데,유격수,107,95,827,11,0,142,220,50,0.971,0,0,0,-
29,홍창기,LG,우익수,104,97,841 2/3,2,0,198,7,3,0.990,0,0,0,-
29,김현준,삼성,중견수,104,101,872,5,0,301,4,2,0.984,0,0,0,-
31,에레디아,SSG,좌익수,101,97,843 2/3,5,0,201,10,1,0.977,0,0,0,-
31,박경수,KT,2루수,101,52,503,4,0,117,179,35,0.987,0,0,0,-
31,강민호,삼성,포수,101,94,786 2/3,3,0,579,49,4,0.995,4,50,12,19.4
31,정은원,한화,2루수,101,92,797 2/3,8,0,188,245,57,0.982,0,0,0,-
35,김동헌,키움,포수,100,48,522,4,0,377,43,5,0.991,7,49,21,30.0
36,류지혁,삼성,3루수,99,83,690 2/3,6,0,56,124,14,0.968,0,0,0,-
36,피렐라,삼성,좌익수,99,95,809,1,0,171,6,0,0.994,0,0,0,-
38,배정대,KT,중견수,97,93,800,1,0,246,6,3,0.996,0,0,0,-
38,양의지,두산,포수,97,93,773,3,1,635,48,8,0.996,6,28,17,37.8
