날짜,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
20230401,1,SSG,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20230401,1,키움,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20230401,1,KT,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20230401,1,NC,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20230401,1,두산,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20230401,6,LG,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20230401,6,KIA,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20230401,6,삼성,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20230401,6,롯데,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20230401,6,한화,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20230402,1,키움,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20230402,2,SSG,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20230402,2,LG,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20230402,2,KT,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20230402,2,KIA,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20230402,2,NC,2,1,1,0,0.500,1,1승0무1패,1패,0-0-0,1-0-1
20230402,2,삼성,2,1,1,0,0.500,1,1승0무1패,1승,1-0-1,0-0-0
20230402,2,롯데,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20230402,2,두산,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20230402,10,한화,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20230404,1,SSG,3,2,1,0,0.667,0,2승0무1패,1승,2-0-1,0-0-0
20230404,1,키움,3,2,1,0,0.667,0,2승0무1패,1패,2-0-1,0-0-0
20230404,1,LG,3,2,1,0,0.667,0,2승0무1패,2승,0-0-0,2-0-1
20230404,1,삼성,3,2,1,0,0.667,0,2승0무1패,2승,2-0-1,0-0-0
20230404,1,두산,3,2,1,0,0.667,0,2승0무1패,1승,2-0-1,0-0-0
20230404,6,KT,2,1,1,0,0.500,0.5,1승0무1패,1패,1-0-1,0-0-0
20230404,6,KIA,2,1,1,0,0.500,0.5,1승0무1패,1승,0-0-0,1-0-1
20230404,8,NC,3,1,2,0,0.333,1,1승0무2패,2패,0-0-0,1-0-2
20230404,8,롯데,3,1,2,0,0.333,1,1승0무2패,1패,0-0-0,1-0-2
20230404,10,한화,3,0,3,0,0.000,2,0승0무3패,3패,0-0-0,0-0-3
