순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,손아섭,NC,0.339,44,181,121,1.50,5,0.75,3.74,0.103,91.7,0.288
2,구자욱,삼성,0.336,49,97,126,0.77,8,0.65,4.04,0.159,86.7,0.307
3,김혜성,키움,0.335,42,135,163,0.83,7,0.74,3.77,0.112,98.6,0.290
4,홍창기,LG,0.332,38,158,115,1.37,5,1.06,4.14,0.080,98.6,0.303
5,에레디아,SSG,0.323,41,117,129,0.91,12,0.52,3.60,0.137,75.9,0.289
6,김선빈,KIA,0.320,16,158,104,1.52,8,1.46,3.72,0.038,57.2,0.261
7,박건우,NC,0.319,48,103,147,0.70,10,0.79,3.78,0.162,84.1,0.299
8,박민우,NC,0.316,29,140,115,1.22,6,0.70,3.77,0.088,68.6,0.273
9,오스틴,LG,0.313,56,107,182,0.59,15,0.71,3.78,0.204,96.6,0.298
10,전준우,롯데,0.312,41,127,154,0.82,10,0.80,3.77,0.158,87.0,0.289
11,양의지,두산,0.305,40,87,165,0.53,6,1.02,3.73,0.169,77.7,0.297
12,최형우,KIA,0.302,45,85,137,0.62,14,0.78,4.02,0.186,84.1,0.302
13,박찬호,KIA,0.301,25,129,137,0.94,4,0.71,3.97,0.077,62.9,0.255
14,문보경,LG,0.301,44,125,124,1.01,11,0.70,3.87,0.147,78.1,0.282
15,노시환,한화,0.298,62,120,126,0.95,13,0.63,4.16,0.243,101.8,0.310
16,최정,SSG,0.297,60,84,166,0.51,13,0.68,3.88,0.251,96.3,0.312
17,김민혁,KT,0.297,26,136,100,1.36,8,0.75,3.63,0.088,57.0,0.256
18,황재균,KT,0.295,34,96,128,0.75,7,0.70,3.86,0.118,56.2,0.268
19,문성주,LG,0.294,27,168,119,1.41,5,1.97,3.79,0.078,69.2,0.269
20,김현수,LG,0.293,30,148,152,0.97,10,1.09,3.85,0.090,70.6,0.260
21,안치홍,롯데,0.292,29,113,140,0.81,6,0.92,3.95,0.108,63.2,0.268
22,강민호,삼성,0.290,35,128,120,1.07,8,0.75,3.64,0.154,68.7,0.276
23,알포드,KT,0.289,49,77,135,0.57,11,0.34,4.02,0.167,79.6,0.274
24,장성우,KT,0.288,33,91,138,0.66,4,0.60,3.85,0.134,60.3,0.263
25,정수빈,두산,0.287,27,179,115,1.56,4,1.02,4.21,0.084,78.9,0.262
26,피렐라,삼성,0.285,45,164,167,0.98,8,0.61,3.61,0.140,73.2,0.259
27,소크라테스,KIA,0.285,54,136,183,0.74,6,0.65,3.58,0.177,86.0,0.271
28,박해민,LG,0.285,22,124,150,0.83,3,0.61,3.90,0.074,62.9,0.246
29,박병호,KT,0.283,33,96,107,0.90,14,0.40,3.85,0.160,70.7,0.271
30,마틴,NC,0.283,39,85,130,0.65,10,0.53,4.10,0.172,76.0,0.276
31,양석환,두산,0.281,49,86,169,0.51,14,0.31,3.98,0.174,81.6,0.263
32,김현준,삼성,0.275,19,145,88,1.65,5,0.36,3.90,0.072,49.6,0.234
33,김상수,KT,0.271,23,128,130,0.98,6,0.81,4.20,0.068,54.7,0.244
34,최지훈,SSG,0.268,29,124,165,0.75,4,0.58,3.65,0.089,55.2,0.231
35,류지혁,삼성,0.268,14,161,104,1.55,1,0.63,3.80,0.042,54.7,0.231
36,허경민,두산,0.268,31,129,164,0.79,6,1.35,3.73,0.107,55.2,0.241
37,오지환,LG,0.268,35,108,123,0.88,11,0.78,4.03,0.128,67.7,0.266
38,문현빈,한화,0.266,29,122,113,1.08,4,0.39,3.56,0.096,52.0,0.236
39,박성한,SSG,0.266,28,140,145,0.97,7,1.04,4.02,0.100,62.4,0.248
40,강승호,두산,0.265,31,108,93,1.16,5,0.25,3.94,0.122,49.2,0.239
41,채은성,한화,0.263,40,118,167,0.71,10,0.51,3.81,0.165,77.4,0.265
42,김민석,롯데,0.255,27,99,92,1.08,2,0.28,3.97,0.083,45.9,0.226
43,추신수,SSG,0.254,30,105,103,1.02,3,0.82,3.94,0.144,61.8,0.270
44,로하스,두산,0.253,47,71,165,0.43,6,0.81,4.11,0.221,67.1,0.274
45,박동원,LG,0.249,38,118,107,1.10,8,0.54,3.83,0.193,64.9,0.261
46,이재현,삼성,0.249,33,116,145,0.80,9,0.58,4.01,0.129,60.7,0.243
47,최주환,SSG,0.235,44,88,147,0.60,7,0.47,4.26,0.197,58.9,0.248
48,김주원,NC,0.233,21,90,117,0.77,6,0.42,4.11,0.107,52.1,0.233
49,정은원,한화,0.222,14,111,119,0.93,1,0.85,4.26,0.046,41.0,0.217
50,김재환,두산,0.220,25,96,122,0.79,7,0.72,4.02,0.111,51.8,0.237
