순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,LG,144,128,8,3880,1341,131,0.976,10,115,30,20.7
2,한화,144,109,7,3875,1359,106,0.980,10,94,48,33.8
3,SSG,144,119,15,3865,1503,163,0.978,11,127,56,30.6
3,키움,144,114,5,3865,1424,125,0.979,9,129,45,25.9
5,KT,144,99,16,3861,1354,117,0.981,3,111,23,17.2
6,두산,144,114,11,3854,1300,108,0.978,12,60,40,40.0
7,NC,144,130,7,3844,1339,126,0.976,7,96,42,30.4
8,삼성,144,103,9,3835,1403,111,0.981,6,86,32,27.1
9,롯데,144,103,3,3817,1365,111,0.981,13,91,46,33.6
10,KIA,144,102,10,3807,1356,137,0.981,12,98,35,26.3
