순위,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,안우진,키움,2.11,30,15,0,1,0,0,10,160,187,0.86
2,김광현,SSG,2.13,28,13,0,0,0,0,22,181,163,1.11
3,플럿코,LG,2.39,28,15,0,0,0,0,14,105,221,0.48
4,수아레즈,삼성,2.49,29,6,0,0,0,0,16,194,149,1.30
5,켈리,LG,2.54,27,16,0,0,0,0,14,179,149,1.20
6,요키시,키움,2.57,30,10,0,0,0,0,14,238,135,1.76
7,폰트,SSG,2.69,28,13,0,1,0,0,5,153,222,0.69
8,루친스키,NC,2.97,31,10,0,0,0,0,13,208,157,1.32
9,뷰캐넌,삼성,3.04,26,11,0,1,0,0,15,220,122,1.80
10,소형준,KT,3.05,27,13,0,0,0,0,19,230,146,1.58
11,고영표,KT,3.26,28,13,0,1,0,0,19,238,128,1.86
12,스탁,두산,3.60,29,9,0,0,0,0,25,196,130,1.51
12,최원준,두산,3.60,30,8,0,0,0,0,11,124,243,0.51
14,반즈,롯데,3.62,31,12,0,0,0,0,16,198,180,1.10
15,곽빈,두산,3.78,27,8,0,0,0,0,8,118,168,0.70
16,양현종,KIA,3.85,30,12,0,0,0,0,12,181,189,0.96
17,이의리,KIA,3.86,28,10,0,0,0,0,7,131,164,0.80
18,박세웅,롯데,3.89,28,10,0,0,0,0,16,195,111,1.76
19,원태인,삼성,3.92,27,10,0,0,0,0,11,170,178,0.96
20,김민우,한화,4.36,29,6,0,1,0,0,16,155,181,0.86
21,오원석,SSG,4.50,24,5,1,0,2,0,17,137,160,0.86
22,데스파이네,KT,4.53,29,8,0,0,0,0,22,202,133,1.52
