순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,안우진,키움,2.11,30,15,8,0,0,0.652,196,131,4,55,4,224,51,46,0.95
2,김광현,SSG,2.13,28,13,3,0,0,0.813,173 1/3,141,10,45,5,153,48,41,1.07
3,플럿코,LG,2.39,28,15,5,0,0,0.750,162,125,13,38,2,149,53,43,1.01
4,수아레즈,삼성,2.49,30,6,8,0,0,0.429,173 2/3,151,7,50,4,159,61,48,1.16
5,켈리,LG,2.54,27,16,4,0,0,0.800,166 1/3,144,10,35,2,153,50,47,1.08
6,요키시,키움,2.57,30,10,8,0,0,0.556,185 1/3,169,8,33,5,154,61,53,1.09
7,폰트,SSG,2.69,28,13,6,0,0,0.684,184,141,18,34,6,170,63,55,0.95
8,루친스키,NC,2.97,31,10,12,0,0,0.455,193 2/3,184,14,34,8,194,77,64,1.13
9,뷰캐넌,삼성,3.04,26,11,8,0,0,0.579,160,176,10,39,8,117,61,54,1.34
10,소형준,KT,3.05,27,13,6,0,0,0.684,171 1/3,158,8,39,5,117,68,58,1.15
11,고영표,KT,3.26,28,13,8,0,0,0.619,182 1/3,191,7,23,16,156,69,66,1.17
12,스탁,두산,3.60,29,9,10,0,0,0.474,165,162,9,83,10,138,87,66,1.48
12,최원준,두산,3.60,30,8,13,0,0,0.381,165,183,21,37,7,113,80,66,1.33
14,반즈,롯데,3.62,31,12,12,0,0,0.500,186 1/3,176,8,47,18,160,87,75,1.20
15,곽빈,두산,3.78,27,8,9,0,0,0.471,147 2/3,143,13,60,11,138,69,62,1.37
16,양현종,KIA,3.85,30,12,7,0,0,0.632,175 1/3,170,14,50,3,141,86,75,1.25
17,이의리,KIA,3.86,29,10,10,0,0,0.500,154,128,18,74,9,161,79,66,1.31
18,박세웅,롯데,3.89,28,10,11,0,0,0.476,157 1/3,179,8,32,8,146,80,68,1.34
19,원태인,삼성,3.92,27,10,8,0,0,0.556,165 1/3,175,16,38,4,130,75,72,1.29
20,김민우,한화,4.36,29,6,11,0,0,0.353,163,143,16,84,8,129,82,79,1.39
21,오원석,SSG,4.50,31,6,8,0,0,0.429,144,158,16,58,3,112,79,72,1.50
22,데스파이네,KT,4.53,30,8,12,0,0,0.400,163,198,14,48,9,123,94,82,1.51
