순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,배정대,KT,중견수,144,134,1195 2/3,3,0,313,5,1,0.991,0,0,0,-
1,박해민,LG,중견수,144,142,1205,2,0,355,3,0,0.994,0,0,0,-
3,오지환,LG,유격수,142,137,1167,16,0,210,359,83,0.973,0,0,0,-
4,황재균,KT,3루수,138,133,1147 2/3,12,0,87,207,19,0.961,0,0,0,-
4,송성문,키움,3루수,138,137,1216,15,0,89,250,23,0.958,0,0,0,-
4,박성한,SSG,유격수,138,131,1176,24,0,215,376,97,0.961,0,0,0,-
7,이지영,키움,포수,137,102,994 2/3,11,0,818,77,9,0.988,4,67,33,33.0
7,김선빈,KIA,2루수,137,134,1134 1/3,10,0,246,334,80,0.983,0,0,0,-
9,유강남,LG,포수,134,115,1008 1/3,7,1,821,71,8,0.992,4,91,19,17.3
9,이정후,키움,중견수,134,132,1155 1/3,2,0,304,7,1,0.994,0,0,0,-
11,나성범,KIA,우익수,132,132,1131 2/3,3,0,223,4,1,0.987,0,0,0,-
11,터크먼,한화,중견수,132,129,1103 2/3,5,0,355,8,2,0.986,0,0,0,-
13,박찬호,KIA,유격수,130,128,1103 1/3,22,0,215,338,66,0.962,0,0,0,-
14,심우준,KT,유격수,129,124,1048 1/3,16,0,211,298,81,0.970,0,0,0,-
14,황대인,KIA,1루수,129,127,1041 1/3,7,0,955,68,82,0.993,0,0,0,-
16,김혜성,키움,2루수,127,123,1080,11,0,293,371,85,0.984,0,0,0,-
17,박세혁,두산,포수,126,110,884,5,0,689,68,10,0.993,7,74,21,22.1
18,강승호,두산,2루수,124,110,945 1/3,14,0,204,300,69,0.973,0,0,0,-
18,정수빈,두산,중견수,124,109,979 2/3,1,0,289,3,0,0.997,0,0,0,-
20,소크라테스,KIA,중견수,123,122,1009 2/3,5,0,302,1,0,0.984,0,0,0,-
21,피렐라,삼성,좌익수,121,121,1026 1/3,5,0,228,7,1,0.979,0,0,0,-
21,채은성,LG,1루수,121,120,935,10,0,896,53,90,0.990,0,0,0,-
23,허경민,두산,3루수,120,117,976 1/3,9,0,111,158,17,0.968,0,0,0,-
23,한유섬,SSG,우익수,120,114,979 2/3,0,0,210,4,0,1.000,0,0,0,-
