분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.31,LG,선발,승,0.00,21,6,3,0,1,0,3,0,0,0.00
4월,04.05,NC,선발,승,0.00,25,7,3,0,0,0,5,0,0,0.00
4월,04.12,한화,선발,승,3.60,23,5,5,0,4,0,7,2,2,1.00
4월,04.18,두산,선발,,1.42,28,6 1/3,4,0,2,2,5,2,1,1.11
