분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
4월,04.02,KIA,선발,승,1.50,25,6,7,0,0,0,2,1,1,1.50
4월,04.08,NC,선발,,4.50,20,4,4,0,4,0,4,2,2,2.70
4월,04.15,롯데,선발,패,1.29,24,7,3,1,0,0,3,1,1,2.12
4월,04.22,한화,선발,승,0.00,25,8,1,0,1,0,7,0,0,1.44
