분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.31,한화,선발,승,0.00,22,5,5,0,2,0,7,0,0,0.00
4월,04.05,삼성,선발,승,0.00,23,6,5,0,2,0,2,0,0,0.00
4월,04.12,두산,선발,승,0.00,23,6,4,0,1,0,8,0,0,0.00
4월,04.18,키움,선발,승,3.00,25,6,7,0,0,0,4,2,2,0.78
