분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
4월,04.01,NC,선발,,3.60,23,5,7,1,1,0,4,2,2,3.60
4월,04.07,KT,선발,패,0.00,19,4,2,0,3,1,6,2,0,2.00
4월,04.14,LG,선발,,1.59,25,5 2/3,7,0,3,0,1,1,1,1.84
4월,04.21,두산,선발,패,2.57,26,7,4,0,1,1,5,2,2,2.08
