연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2025,LG,2.86,8,0,0,6,2,0,0,0.750,184,44,39,2,16,2,45,15,14
2026,LG,3.43,4,0,0,3,1,0,0,0.750,88,21,16,2,9,2,17,8,8
