연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2025,KIA,3.62,26,1,0,11,7,0,0,0.611,620,149,125,8,47,8,169,64,60
2026,KIA,1.11,4,0,0,3,0,0,0,1.000,97,24 1/3,15,0,7,2,20,4,3
