연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2024,KIA,2.53,26,0,0,12,5,0,0,0.706,642,149 1/3,154,11,35,9,138,69,42
2025,KIA,2.25,27,0,0,8,4,0,0,0.667,664,164 1/3,135,6,41,15,152,46,41
2026,KIA,2.57,5,0,0,1,1,0,0,0.500,114,28,23,1,5,4,21,8,8
