연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2021,롯데,6.31,39,0,0,4,6,0,8,0.400,227,45 2/3,42,3,49,3,45,32,32
2022,롯데,6.36,14,0,0,2,5,0,0,0.286,227,46 2/3,43,3,35,8,52,36,33
2023,롯데,6.44,50,0,0,2,1,0,8,0.667,177,36 1/3,37,4,29,2,35,27,26
2024,롯데,5.31,19,0,0,4,3,0,0,0.571,388,84 2/3,89,13,44,3,87,54,50
2025,롯데,10.00,14,0,0,1,3,0,0,0.250,136,27,42,10,16,2,24,32,30
2026,롯데,2.59,4,0,0,2,1,0,0,0.667,95,24 1/3,18,2,8,0,24,7,7
