연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2021,롯데,6.41,23,0,0,1,2,1,1,0.333,223,46 1/3,62,4,24,0,27,36,33
2022,롯데,3.98,39,0,0,3,8,0,2,0.273,506,117 2/3,125,5,37,3,123,55,52
2023,롯데,3.80,23,0,0,6,8,0,0,0.429,569,130 1/3,140,8,42,5,114,61,55
2024,롯데,8.51,26,0,0,4,7,0,0,0.364,380,73,114,15,47,5,74,73,69
2025,롯데,3.87,28,0,0,3,7,0,0,0.300,601,137 1/3,143,13,50,5,116,67,59
2026,롯데,2.08,4,0,0,0,2,0,0,0.000,93,21 2/3,20,1,8,2,16,7,5
