분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.28,키움,선발,,7.71,21,4 2/3,4,0,4,0,3,4,4,7.71
4월,04.03,두산,선발,승,5.06,23,5 1/3,5,0,3,0,3,3,3,6.30
4월,04.10,KIA,선발,패,5.40,22,5,4,2,2,0,3,4,3,6.00
4월,04.15,삼성,선발,패,189.00,10,1/3,7,0,2,0,1,7,7,9.98
4월,04.19,롯데,선발,승,0.00,22,6,5,0,1,0,2,0,0,7.17
