연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2025,키움,3.15,4,0,0,1,1,0,0,0.500,85,20,18,0,6,1,16,8,7
2026,LG,1.44,4,0,0,2,1,0,0,0.667,94,25,15,1,5,0,16,4,4
