분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
4월,04.02,삼성,선발,,0.00,25,6,2,0,5,0,4,1,0,0.00
4월,04.08,키움,선발,승,0.00,24,5 2/3,3,0,4,1,6,0,0,0.00
4월,04.14,SSG,선발,승,1.50,26,6,4,1,2,0,4,2,1,0.51
4월,04.19,KIA,선발,승,3.00,25,6,5,0,3,1,3,2,2,1.14
