연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2023,키움,2.65,30,0,0,11,8,0,0,0.579,763,183 2/3,164,7,41,9,147,64,54
2024,키움,3.36,30,0,0,10,8,0,0,0.556,779,190 1/3,185,19,32,9,169,78,71
2025,삼성,2.60,30,3,2,15,8,0,0,0.652,786,197 1/3,177,17,36,4,142,65,57
2026,삼성,1.97,5,0,0,2,1,0,0,0.667,130,32,28,4,4,1,20,8,7
