분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.29,LG,선발,,9.00,17,3,7,0,2,0,1,3,3,9.00
4월,04.04,삼성,선발,,9.00,28,6,9,2,1,0,7,6,6,9.00
4월,04.11,두산,선발,승,2.57,26,7,4,0,1,1,7,2,2,6.19
4월,04.17,키움,선발,승,0.00,25,6,6,0,0,1,7,0,0,4.50
4월,04.23,KIA,선발,승,3.60,23,5,6,0,2,0,5,3,2,4.33
