연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2020,SK,5.59,8,0,0,0,1,0,0,0.000,50,9 2/3,12,1,6,1,9,10,6
2021,SSG,5.89,33,0,0,7,6,0,2,0.538,530,110,125,11,73,10,95,84,72
2022,SSG,4.50,31,0,0,6,8,0,0,0.429,633,144,158,16,58,3,112,79,72
2023,SSG,5.23,28,1,0,8,10,0,0,0.444,648,144 2/3,158,11,69,9,88,92,84
2024,SSG,5.03,29,0,0,6,9,0,1,0.400,550,121 2/3,122,17,65,13,112,72,68
2025,KT,3.67,25,0,0,11,8,0,0,0.579,565,132 1/3,130,10,52,4,113,60,54
2026,KT,2.01,4,0,0,2,1,0,0,0.667,89,22 1/3,21,1,4,0,21,7,5
