연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2025,SSG,2.87,24,1,0,11,4,0,0,0.733,562,134 2/3,111,9,44,8,137,51,43
2026,SSG,4.39,5,0,0,1,1,0,0,0.500,123,26 2/3,32,1,13,1,25,14,13
