연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2020,NC,5.79,17,0,0,2,3,0,0,0.400,196,42,57,10,13,3,26,27,27
2021,NC,4.41,30,0,0,9,6,0,0,0.600,625,145,155,17,44,5,107,75,71
2022,NC,4.56,26,0,0,4,9,0,0,0.308,521,118 1/3,128,15,31,10,105,64,60
2023,NC,3.98,29,0,0,5,5,0,0,0.500,519,122,122,14,25,6,97,63,54
2024,NC,4.31,25,0,0,8,9,0,0,0.471,524,121,140,20,16,7,74,67,58
2025,NC,4.77,28,1,0,6,3,0,0,0.667,568,132,148,23,26,6,84,76,70
2026,NC,4.29,4,0,0,0,2,0,0,0.000,86,21,17,4,7,2,10,10,10
