연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2025,두산,2.81,30,0,0,10,8,0,1,0.556,722,176,146,8,39,17,156,66,55
2026,두산,4.50,5,0,0,1,3,0,0,0.250,131,30,34,2,6,0,26,17,15
