연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2025,두산,4.40,17,0,0,3,3,0,0,0.500,333,77 2/3,72,7,34,5,53,41,38
2026,두산,1.14,4,0,0,3,0,0,0,1.000,100,23 2/3,14,1,14,2,17,5,3
