분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.28,SSG,선발,,0.00,21,6,2,0,1,0,5,0,0,0.00
4월,04.03,NC,선발,패,3.60,21,5,3,0,3,2,5,2,2,1.64
4월,04.10,한화,선발,승,3.86,26,7,6,1,0,0,4,3,3,2.50
4월,04.16,키움,선발,,1.80,22,5,6,0,0,1,3,1,1,2.35
4월,04.22,KT,선발,,3.60,24,5,6,0,1,1,4,2,2,2.57
