분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.28,두산,선발,승,0.00,18,5,2,0,1,0,3,0,0,0.00
4월,04.03,KIA,선발,승,0.00,22,6,1,0,3,0,6,0,0,0.00
4월,04.10,삼성,선발,,6.00,26,6,7,2,2,0,2,4,4,2.12
4월,04.16,KT,선발,,5.06,24,5 1/3,5,0,2,0,4,3,3,2.82
4월,04.23,키움,선발,승,1.50,23,6,4,0,1,1,3,1,1,2.54
