연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2019,KT,4.01,27,1,0,11,11,0,0,0.500,724,172 2/3,189,15,27,8,100,80,77
2020,두산,2.54,31,1,0,20,2,0,0,0.909,795,198 2/3,174,12,30,9,182,58,56
2023,두산,2.67,31,0,0,13,9,0,0,0.591,777,192,171,16,35,5,162,67,57
2024,두산,4.76,12,0,0,2,2,0,0,0.500,270,64 1/3,58,10,22,2,34,35,34
2025,키움,3.27,19,0,0,8,4,0,0,0.667,492,121,125,11,10,4,92,50,44
2026,키움,2.56,5,0,0,2,2,0,0,0.500,133,31 2/3,37,4,4,0,34,10,9
