분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
4월,04.02,한화,선발,승,1.50,22,6,4,0,0,0,7,1,1,1.50
4월,04.08,롯데,선발,패,2.25,20,4,6,0,1,0,5,3,1,1.80
4월,04.15,NC,선발,승,1.29,27,7,6,1,1,0,6,1,1,1.59
4월,04.21,KIA,선발,,3.38,20,5 1/3,5,0,2,0,3,2,2,2.01
