분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.28,삼성,선발,승,0.00,22,5,2,0,5,0,4,0,0,0.00
4월,04.03,SSG,선발,패,18.00,25,4,9,2,5,1,0,8,8,8.00
4월,04.10,키움,선발,승,1.13,28,8,4,1,0,0,11,1,1,4.76
4월,04.16,LG,선발,,5.40,23,5,6,0,3,0,4,3,3,4.91
4월,04.23,두산,선발,승,1.50,25,6,6,1,1,0,8,1,1,4.18
