분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.28,롯데,선발,패,4.50,25,6,7,1,0,0,2,3,3,4.50
4월,04.03,KT,선발,승,1.50,24,6,5,1,1,0,4,1,1,3.00
4월,04.10,NC,선발,,1.50,26,6,6,1,1,1,4,2,1,2.50
4월,04.16,한화,선발,승,1.29,27,7,6,0,0,0,5,1,1,2.16
4월,04.22,SSG,선발,,1.29,28,7,4,1,2,0,5,1,1,1.97
