연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2018,두산,7.55,32,0,0,3,1,1,4,0.750,154,31,44,6,17,3,26,26,26
2021,두산,4.10,21,0,0,4,7,0,0,0.364,455,98 2/3,78,7,79,12,96,50,45
2022,두산,3.78,27,0,0,8,9,0,0,0.471,645,147 2/3,143,13,60,11,138,69,62
2023,두산,2.90,23,0,0,12,7,0,0,0.632,526,127 1/3,96,7,58,5,106,44,41
2024,두산,4.24,30,0,0,15,9,0,0,0.625,716,167 2/3,142,11,76,6,154,83,79
2025,두산,4.20,19,0,0,5,7,0,0,0.417,465,109 1/3,96,9,41,2,107,55,51
2026,두산,3.25,5,0,0,1,2,0,0,0.333,121,27 2/3,26,2,12,1,35,13,10
