분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.31,SSG,선발,패,3.00,26,6,7,1,0,0,4,3,2,3.00
4월,04.05,LG,선발,패,7.20,26,5,8,0,2,1,5,4,4,4.91
4월,04.11,롯데,선발,,0.00,27,7,5,0,0,0,6,0,0,3.00
4월,04.17,KT,선발,패,7.50,28,6,12,1,0,0,2,5,5,4.13
