연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2020,KT,3.86,26,0,0,13,6,0,0,0.684,572,133,141,6,45,6,92,63,57
2021,KT,4.16,24,0,0,7,7,0,0,0.500,521,119,123,6,51,4,85,67,55
2022,KT,3.05,27,0,0,13,6,0,0,0.684,703,171 1/3,158,8,39,5,117,68,58
2023,KT,11.45,3,0,0,0,0,0,0,-,59,11,22,1,3,3,4,14,14
2024,KT,3.24,6,0,0,2,0,0,0,1.000,30,8 1/3,7,1,1,1,3,3,3
2025,KT,3.30,26,0,0,10,7,1,0,0.588,617,147 1/3,155,6,29,3,123,60,54
2026,KT,4.33,5,0,0,3,0,0,0,1.000,119,27,32,2,6,2,27,14,13
