분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.28,LG,선발,승,5.40,24,5,5,1,5,0,1,3,3,5.40
4월,04.03,삼성,선발,패,3.00,25,6,5,0,2,0,3,2,2,4.09
4월,04.10,두산,선발,,6.00,27,6,7,0,3,1,4,4,4,4.76
4월,04.16,NC,선발,,3.38,24,5 1/3,5,0,1,2,8,2,2,4.43
4월,04.22,KIA,선발,,2.84,23,6 1/3,3,1,2,0,7,2,2,4.08
