연도,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER
2016,NC,4.19,39,0,0,4,1,0,1,0.800,296,68 2/3,61,9,37,2,67,32,32
2017,NC,5.32,31,0,0,7,10,0,0,0.412,524,115,138,18,50,5,118,80,68
2018,NC,5.35,36,0,0,5,11,0,1,0.313,598,133,158,21,52,7,116,83,79
2019,NC,3.20,23,0,0,10,7,0,1,0.588,449,107,85,10,41,6,114,40,38
2020,NC,1.74,15,0,0,9,0,0,1,1.000,348,93 1/3,58,7,18,0,102,20,18
2022,NC,2.10,19,0,0,11,5,0,0,0.688,451,111 2/3,92,7,29,4,108,32,26
2023,NC,2.96,11,0,0,1,3,0,0,0.250,205,51 2/3,38,4,16,0,56,19,17
2025,NC,2.51,4,0,0,1,0,0,0,1.000,59,14 1/3,14,1,3,0,18,4,4
2026,NC,2.54,5,0,0,3,0,0,0,1.000,113,28 1/3,19,2,9,1,18,8,8
