분류,날짜,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
3월,03.31,KIA,선발,패,21.00,19,3,9,1,1,0,5,7,7,21.00
4월,04.05,키움,선발,승,1.50,24,6,2,1,2,1,7,1,1,8.00
4월,04.12,SSG,선발,승,0.00,24,6,4,0,2,1,4,0,0,4.80
4월,04.19,삼성,선발,승,0.00,21,6,1,0,4,0,1,0,0,3.43
