순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,LG,0.278,144,5713,4919,788,1366,219,19,130,2013,732,63,59,604,16,68,975,99,0.409,0.361,0.77,144,0.282,0.286
2,삼성,0.271,144,5671,4899,775,1330,241,18,161,2090,728,67,55,564,25,86,1087,106,0.427,0.353,0.78,141,0.291,0.212
3,롯데,0.267,144,5682,4944,676,1318,242,26,75,1837,629,72,45,530,28,91,1030,123,0.372,0.346,0.718,144,0.275,0.218
4,한화,0.266,144,5547,4892,689,1303,250,16,116,1933,643,79,46,439,22,90,1038,109,0.395,0.335,0.73,143,0.276,0.25
5,두산,0.262,144,5581,4952,647,1298,232,31,102,1898,592,53,42,469,20,65,1169,87,0.383,0.331,0.714,144,0.263,0.273
6,NC,0.26,144,5570,4816,732,1254,221,31,128,1921,685,62,52,504,11,136,1090,83,0.399,0.344,0.743,142,0.283,0.202
7,KIA,0.258,144,5619,4944,668,1276,232,16,144,1972,624,43,39,526,17,67,1211,96,0.399,0.335,0.734,142,0.25,0.301
8,SSG,0.256,144,5517,4875,609,1249,175,14,127,1833,578,52,37,493,19,60,1159,90,0.376,0.33,0.706,144,0.253,0.214
9,KT,0.253,144,5588,4845,648,1228,214,17,104,1788,613,65,43,555,16,80,1044,108,0.369,0.337,0.706,144,0.269,0.231
10,키움,0.244,144,5508,4935,581,1202,217,20,104,1771,540,38,33,439,13,63,1221,102,0.359,0.312,0.671,141,0.256,0.214
