순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,한화,144,86,4,3871,1325,100,0.984,11,96,39,28.9
2,SSG,144,106,10,3850,1398,139,0.980,4,110,46,29.5
3,두산,144,120,12,3840,1363,123,0.977,12,103,43,29.5
3,롯데,144,111,5,3840,1380,117,0.979,13,104,23,18.1
5,LG,144,92,10,3838,1438,137,0.983,7,95,23,19.5
6,KT,144,103,5,3835,1458,105,0.981,6,128,32,20.0
7,KIA,144,123,10,3824,1422,127,0.977,8,111,41,27.0
8,NC,144,116,5,3810,1381,119,0.978,7,80,36,31.0
9,키움,144,119,4,3807,1317,111,0.977,13,107,53,33.1
10,삼성,144,87,8,3806,1389,122,0.984,12,107,26,19.5
