순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,양의지,두산,0.337,130,517,454,56,153,27,1,20,242,89,0,6,50,6,7,63,10,0.533,0.406,0.939,44,0.375,0.5
2,안현민,KT,0.334,112,482,395,72,132,19,4,22,225,80,0,3,75,5,9,72,4,0.57,0.448,1.018,38,0.333,0.0
3,김성윤,삼성,0.331,127,538,456,92,151,29,9,6,216,61,10,2,65,0,5,54,11,0.474,0.419,0.893,45,0.402,0.4
4,레이예스,롯데,0.326,144,643,573,75,187,44,1,13,272,107,0,9,58,17,3,66,25,0.475,0.386,0.861,60,0.375,0.0
5,문현빈,한화,0.32,141,592,528,71,169,30,2,12,239,80,5,11,38,2,10,82,11,0.453,0.37,0.823,53,0.319,0.25
6,구자욱,삼성,0.319,142,616,529,106,169,43,2,19,273,96,1,8,73,7,5,91,9,0.516,0.402,0.918,46,0.351,0.333
7,송성문,키움,0.315,144,646,574,103,181,37,4,26,304,90,0,3,68,5,1,96,6,0.53,0.387,0.917,53,0.372,0.333
8,디아즈,삼성,0.314,144,628,551,93,173,32,0,50,355,158,0,11,60,10,6,100,15,0.644,0.381,1.025,50,0.352,1.0
9,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,62,0,3,57,7,0.382,0.395,0.777,37,0.407,0.5
10,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,61,7,2,62,11,0.595,0.393,0.988,38,0.292,0.0
11,최형우,KIA,0.307,133,549,469,74,144,30,1,24,248,86,0,5,67,8,8,98,9,0.529,0.399,0.928,38,0.294,0.6
12,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,54,0,4,59,10,0.375,0.375,0.75,43,0.321,0.167
13,박민우,NC,0.302,117,468,404,64,122,25,8,3,172,67,4,4,44,5,12,64,5,0.426,0.384,0.81,37,0.432,0.167
14,케이브,두산,0.299,136,593,538,72,161,28,6,16,249,87,0,8,43,1,4,116,7,0.463,0.351,0.814,52,0.31,0.0
15,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,64,1,4,73,10,0.422,0.384,0.806,36,0.362,0.4
16,전준우,롯데,0.293,114,472,410,50,120,26,1,8,172,70,3,6,44,2,9,71,9,0.42,0.369,0.789,29,0.359,0.25
17,김주원,NC,0.289,144,624,539,98,156,26,8,15,243,65,4,2,63,1,16,111,8,0.451,0.379,0.83,40,0.306,0.333
18,채은성,한화,0.288,132,527,480,54,138,27,1,19,224,88,3,0,31,5,13,96,4,0.467,0.347,0.814,39,0.333,0.0
19,박찬호,KIA,0.287,134,595,516,75,148,18,2,5,185,42,8,6,62,0,3,69,7,0.359,0.363,0.722,37,0.294,0.0
20,최지훈,SSG,0.284,140,574,517,66,147,16,4,7,192,45,4,5,43,2,5,87,2,0.371,0.342,0.713,37,0.28,0.286
21,허경민,KT,0.283,114,481,420,47,119,18,0,4,149,44,3,4,39,1,15,35,14,0.355,0.362,0.717,33,0.29,0.0
22,류지혁,삼성,0.28,129,464,400,54,112,14,0,1,129,37,14,4,33,0,13,73,11,0.323,0.351,0.674,29,0.247,0.2
23,고명준,SSG,0.278,130,500,471,46,131,20,1,17,204,64,0,7,20,1,2,99,12,0.433,0.306,0.739,43,0.235,0.0
24,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,68,0,8,94,7,0.346,0.379,0.725,29,0.231,0.0
25,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,79,3,4,108,15,0.46,0.371,0.831,38,0.274,0.333
26,최주환,키움,0.275,120,506,459,45,126,31,1,12,195,74,0,6,36,2,5,66,8,0.425,0.33,0.755,33,0.291,0.5
27,박성한,SSG,0.274,127,538,452,73,124,23,2,7,172,48,2,2,79,1,3,93,6,0.381,0.384,0.765,31,0.275,0.5
28,한유섬,SSG,0.273,128,511,455,50,124,24,0,15,193,71,1,2,46,3,7,120,6,0.424,0.347,0.771,36,0.291,0.333
29,고승민,롯데,0.271,121,538,469,71,127,21,2,4,164,45,6,4,56,1,3,83,8,0.35,0.35,0.7,36,0.241,0.0
30,강민호,삼성,0.269,127,465,412,37,111,23,1,12,172,71,1,7,38,4,7,69,16,0.417,0.336,0.753,26,0.333,0.3
31,오선우,KIA,0.265,124,474,437,58,116,17,1,18,189,56,0,0,34,2,3,158,11,0.432,0.323,0.755,32,0.239,0.143
32,노시환,한화,0.26,144,624,539,97,140,28,2,32,268,101,0,4,70,10,11,125,22,0.497,0.354,0.851,37,0.29,0.0
33,정수빈,두산,0.258,132,546,462,89,119,16,4,6,161,38,8,4,61,2,11,57,7,0.348,0.355,0.703,27,0.212,1.0
34,이재현,삼성,0.254,139,555,457,82,116,29,1,16,195,67,10,8,69,1,11,119,8,0.427,0.36,0.787,29,0.256,0.333
35,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,37,0,3,115,4,0.43,0.314,0.744,27,0.283,0.333
36,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,62,4,2,124,10,0.455,0.342,0.797,27,0.235,0.143
37,김휘집,NC,0.249,142,500,429,64,107,18,2,17,180,56,2,2,40,0,27,89,9,0.42,0.349,0.769,29,0.242,0.333
38,김영웅,삼성,0.249,125,499,446,66,111,22,2,22,203,72,0,3,48,3,2,143,6,0.455,0.323,0.778,25,0.268,0.0
39,장성우,KT,0.247,129,480,413,44,102,13,0,14,157,58,2,8,55,1,2,96,13,0.38,0.333,0.713,25,0.191,0.25
40,권희동,NC,0.246,136,456,358,56,88,24,0,6,130,39,8,2,77,0,11,80,10,0.363,0.393,0.756,21,0.247,0.077
41,최원준,NC,0.242,126,449,413,62,100,13,3,6,137,44,2,5,23,0,6,71,5,0.332,0.289,0.621,24,0.224,0.2
42,이주형,키움,0.24,127,514,446,55,107,22,1,11,164,45,3,0,37,2,28,115,7,0.368,0.337,0.705,28,0.257,0.222
43,위즈덤,KIA,0.236,119,486,424,73,100,20,1,35,227,85,0,6,52,2,4,142,9,0.535,0.321,0.856,25,0.207,0.2
