순위,선수명,팀명,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,폰세,한화,1.89,29,17,0,0,0,0,14,145,122,1.19
2,네일,KIA,2.25,27,8,0,0,0,0,18,204,110,1.85
3,앤더슨,SSG,2.25,30,12,0,0,0,0,7,130,134,0.97
4,후라도,삼성,2.60,30,15,0,3,0,0,23,249,173,1.44
5,잭로그,두산,2.81,29,10,0,0,1,0,15,204,149,1.37
6,와이스,한화,2.87,30,16,0,0,0,0,7,168,150,1.12
7,임찬규,LG,3.03,27,11,0,1,0,0,19,175,174,1.01
8,원태인,삼성,3.24,27,12,0,0,0,0,18,173,189,0.92
9,고영표,KT,3.30,26,11,0,2,0,0,14,190,119,1.60
10,소형준,KT,3.30,24,10,0,1,1,0,13,189,112,1.69
11,치리노스,LG,3.31,30,13,0,0,0,0,11,251,123,2.04
12,손주영,LG,3.41,27,11,0,0,0,0,23,187,114,1.64
13,라일리,NC,3.45,30,17,0,0,0,0,5,134,160,0.84
14,송승기,LG,3.50,27,11,0,0,0,0,6,109,191,0.57
15,올러,KIA,3.62,26,11,0,1,0,0,5,123,143,0.86
16,헤이수스,KT,3.96,30,9,0,0,0,0,7,171,143,1.20
17,콜어빈,두산,4.48,28,8,0,0,0,0,16,147,121,1.21
18,로건,NC,4.53,31,7,0,0,0,0,13,188,173,1.09
19,박세웅,롯데,4.93,28,11,0,0,0,0,9,171,142,1.20
20,하영민,키움,4.99,28,7,0,0,0,0,8,144,164,0.88
21,김광현,SSG,5.00,28,10,0,0,0,0,15,149,126,1.18
22,양현종,KIA,5.06,30,7,0,0,0,0,15,153,175,0.87
