순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
133,오태곤,SSG,1루수,58,10,178 1/3,0,0,154,10,23,1.000,0,0,0,-
133,김민성,롯데,3루수,58,43,358 1/3,5,0,17,75,5,0.948,0,0,0,-
133,리베라토,한화,중견수,58,58,479,3,0,125,7,1,0.978,0,0,0,-
140,이준영,KIA,투수,57,0,34,1,0,0,2,0,0.667,0,0,0,-
140,구본혁,LG,유격수,57,36,315,3,0,57,97,22,0.981,0,0,0,-
142,오선우,KIA,좌익수,56,37,333,0,0,90,2,1,1.000,0,0,0,-
142,장현식,LG,투수,56,0,49 2/3,1,0,2,3,0,0.833,0,0,0,-
142,김태연,한화,1루수,56,26,294,3,0,249,27,21,0.989,0,0,0,-
145,이병헌,삼성,포수,55,13,184,2,0,154,9,1,0.988,2,16,1,5.9
145,서호철,NC,1루수,55,27,272,1,0,241,7,26,0.996,0,0,0,-
147,박신지,두산,투수,54,0,60,0,0,2,7,0,1.000,0,0,0,-
147,박준순,두산,3루수,54,50,445 1/3,19,0,30,95,12,0.868,0,0,0,-
147,박윤성,키움,투수,54,0,51 2/3,0,0,5,7,1,1.000,0,0,0,-
150,로하스,KT,우익수,53,49,385,3,0,76,3,1,0.963,0,0,0,-
