순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,이강민,KT,유격수,22,22,175,4,0,41,45,17,0.956,0,0,0,-
1,힐리어드,KT,좌익수,22,20,177,0,0,40,1,0,1.000,0,0,0,-
1,정수빈,두산,중견수,22,21,181,0,0,41,1,0,1.000,0,0,0,-
4,문성주,LG,좌익수,21,19,161 1/3,1,0,45,1,0,0.979,0,0,0,-
4,박해민,LG,중견수,21,21,179,0,0,61,2,1,1.000,0,0,0,-
4,신민재,LG,2루수,21,18,170,1,0,31,64,12,0.990,0,0,0,-
4,채은성,한화,1루수,21,21,176 1/3,4,0,148,8,20,0.975,0,0,0,-
4,페라자,한화,우익수,21,21,174,2,0,36,2,0,0.950,0,0,0,-
4,박성한,SSG,유격수,21,21,176 1/3,3,0,29,54,12,0.965,0,0,0,-
4,에레디아,SSG,좌익수,21,21,176,1,0,39,0,0,0.975,0,0,0,-
4,최정,SSG,3루수,21,21,172 1/3,2,0,9,38,7,0.959,0,0,0,-
4,최지훈,SSG,중견수,21,20,178 1/3,1,0,62,1,0,0.984,0,0,0,-
4,김지찬,삼성,중견수,21,20,171 1/3,0,0,53,1,0,1.000,0,0,0,-
4,디아즈,삼성,1루수,21,21,185,1,0,174,22,18,0.995,0,0,0,-
4,류지혁,삼성,2루수,21,21,178,3,0,38,62,13,0.971,0,0,0,-
4,김주원,NC,유격수,21,21,176,2,0,33,61,11,0.979,0,0,0,-
4,김도영,KIA,3루수,21,20,173 2/3,0,0,15,41,6,1.000,0,0,0,-
4,김호령,KIA,중견수,21,21,184,0,0,59,2,0,1.000,0,0,0,-
4,박찬호,두산,유격수,21,21,183,2,0,35,57,15,0.979,0,0,0,-
4,김건희,키움,포수,21,18,159,3,0,133,11,2,0.980,0,10,3,23.1
21,박동원,LG,포수,20,18,152,1,1,130,8,0,0.993,0,15,5,25.0
21,오스틴,LG,1루수,20,20,171,1,0,142,10,14,0.993,0,0,0,-
21,오지환,LG,유격수,20,19,162,4,0,31,51,11,0.953,0,0,0,-
21,문현빈,한화,좌익수,20,20,171,0,0,31,1,0,1.000,0,0,0,-
21,김형준,NC,포수,20,18,142 1/3,0,1,117,9,0,1.000,1,10,3,23.1
21,노진혁,롯데,1루수,20,19,153 1/3,1,0,120,16,7,0.993,0,0,0,-
21,카스트로,KIA,좌익수,20,20,155 1/3,0,0,45,1,0,1.000,0,0,0,-
28,하주석,한화,2루수,19,17,139,3,0,36,35,12,0.959,0,0,0,-
28,정준재,SSG,2루수,19,14,125 2/3,1,0,35,47,12,0.988,0,0,0,-
28,강민호,삼성,포수,19,17,137,0,0,105,7,2,1.000,3,12,2,14.3
28,박민우,NC,2루수,19,19,147,1,0,37,43,9,0.988,0,0,0,-
28,최정원,NC,중견수,19,18,150,0,0,37,1,0,1.000,0,0,0,-
28,김상수,KT,2루수,19,17,158,3,0,39,64,17,0.972,0,0,0,-
28,손성빈,롯데,포수,19,12,107,1,1,103,6,3,0.991,0,3,1,25.0
28,전민재,롯데,유격수,19,19,144 1/3,2,0,34,44,9,0.975,0,0,0,-
28,한태양,롯데,2루수,19,19,153 2/3,1,0,35,46,7,0.988,0,0,0,-
28,데일,KIA,유격수,19,18,153 1/3,7,0,26,33,4,0.894,0,0,0,-
28,한준수,KIA,포수,19,16,146 1/3,1,0,113,4,1,0.992,1,15,2,11.8
28,이주형,키움,중견수,19,19,157 2/3,2,0,48,0,0,0.960,0,0,0,-
40,천성호,LG,3루수,18,15,112,3,0,11,13,1,0.889,0,0,0,-
40,심우준,한화,유격수,18,18,147,4,0,34,42,12,0.950,0,0,0,-
40,이재현,삼성,유격수,18,17,131,3,0,26,43,11,0.958,0,0,0,-
40,이우성,NC,좌익수,18,18,126 1/3,0,0,27,0,0,1.000,0,0,0,-
40,김민석,두산,좌익수,18,16,139,2,0,35,0,0,0.946,0,0,0,-
40,박준순,두산,2루수,18,17,139 2/3,3,0,39,42,11,0.964,0,0,0,-
40,브룩스,키움,1루수,18,16,141,0,0,123,10,11,1.000,0,0,0,-
47,홍창기,LG,우익수,17,16,133,0,0,25,1,0,1.000,0,0,0,-
47,고명준,SSG,1루수,17,17,132,1,0,123,6,15,0.992,0,0,0,-
47,김성욱,SSG,우익수,17,7,75 1/3,0,0,16,1,0,1.000,0,0,0,-
47,양석환,두산,1루수,17,17,137,2,0,112,8,9,0.984,0,0,0,-
47,양의지,두산,포수,17,16,131,1,0,126,9,2,0.993,1,12,1,7.7
47,카메론,두산,우익수,17,17,136,0,0,26,0,0,1.000,0,0,0,-
53,구본혁,LG,3루수,16,5,65,0,0,3,6,0,1.000,0,0,0,-
53,최재훈,한화,포수,16,16,115,1,0,108,9,2,0.992,1,4,2,33.3
53,박건우,NC,우익수,16,16,110,0,0,17,0,0,1.000,0,0,0,-
53,김현수,KT,1루수,16,15,132,1,0,100,15,14,0.991,0,0,0,-
53,한승택,KT,포수,16,14,119 1/3,0,0,105,11,2,1.000,0,12,4,25.0
53,레이예스,롯데,좌익수,16,15,130 1/3,0,0,27,2,2,1.000,0,0,0,-
53,윤동희,롯데,우익수,16,16,124 1/3,0,0,28,1,0,1.000,0,0,0,-
53,박찬혁,키움,우익수,16,15,116,0,0,22,1,0,1.000,0,0,0,-
61,허인서,한화,포수,15,5,73,0,1,68,5,1,1.000,1,5,1,16.7
61,조형우,SSG,포수,15,15,116,3,0,91,10,1,0.971,0,7,2,22.2
61,한유섬,SSG,우익수,15,13,93,0,0,15,1,0,1.000,0,0,0,-
61,김휘집,NC,3루수,15,15,109,1,0,12,25,1,0.974,0,0,0,-
61,유강남,롯데,포수,15,9,76 1/3,0,0,73,7,0,1.000,1,14,4,22.2
61,한동희,롯데,3루수,15,15,122,2,0,9,16,0,0.926,0,0,0,-
61,황성빈,롯데,중견수,15,12,107,1,0,22,0,0,0.957,0,0,0,-
68,노시환,한화,3루수,14,14,126,3,0,5,20,3,0.893,0,0,0,-
68,스기모토,KT,투수,14,0,11 2/3,0,0,0,0,0,-,0,0,0,-
68,안현민,KT,우익수,14,14,118,0,0,23,1,0,1.000,0,0,0,-
68,박재현,KIA,우익수,14,10,95,0,0,17,1,1,1.000,0,0,0,-
68,안재석,두산,3루수,14,14,119,3,0,13,17,1,0.909,0,0,0,-
68,이병헌,두산,투수,14,0,11,0,0,1,2,1,1.000,0,0,0,-
74,오재원,한화,중견수,13,11,101,2,0,27,0,0,0.931,0,0,0,-
74,정우주,한화,투수,13,0,9 1/3,0,0,0,0,0,-,0,0,0,-
74,전병우,삼성,3루수,13,11,100,2,0,6,21,1,0.931,0,0,0,-
74,김영규,NC,투수,13,0,9 1/3,0,0,0,1,0,1.000,0,0,0,-
74,배재환,NC,투수,13,0,9 2/3,0,0,0,0,0,-,0,0,0,-
74,최원준,KT,중견수,13,13,111,2,0,22,1,0,0.920,0,0,0,-
74,한승혁,KT,투수,13,0,12,1,0,1,0,0,0.500,0,0,0,-
74,김범수,KIA,투수,13,0,9 2/3,0,0,1,2,0,1.000,0,0,0,-
74,김선빈,KIA,2루수,13,13,98,0,0,11,38,4,1.000,0,0,0,-
74,박정우,KIA,좌익수,13,0,22 2/3,1,0,7,0,0,0.875,0,0,0,-
84,유영찬,LG,투수,12,0,11 2/3,0,0,1,0,0,1.000,0,0,0,-
84,김종수,한화,투수,12,0,9,0,0,0,1,0,1.000,0,0,0,-
84,조동욱,한화,투수,12,0,7 2/3,0,0,0,2,0,1.000,0,0,0,-
84,오태곤,SSG,1루수,12,4,54,0,0,45,3,6,1.000,0,0,0,-
84,이지영,SSG,포수,12,6,68,0,0,61,7,0,1.000,1,3,2,40.0
84,전영준,SSG,투수,12,0,11,0,0,0,0,0,-,0,0,0,-
84,박세혁,삼성,포수,12,4,53,0,0,34,3,0,1.000,0,6,0,0.0
84,임지민,NC,투수,12,0,11,0,0,0,0,0,-,0,0,0,-
84,배정대,KT,중견수,12,7,74,0,0,16,0,0,1.000,0,0,0,-
84,오윤석,KT,1루수,12,7,64,0,0,63,5,8,1.000,0,0,0,-
84,전용주,KT,투수,12,0,9,0,0,1,3,0,1.000,0,0,0,-
84,이호준,롯데,유격수,12,2,37,0,0,8,8,1,1.000,0,0,0,-
84,김규성,KIA,1루수,12,5,60,1,0,50,1,2,0.981,0,0,0,-
84,윤준호,두산,포수,12,6,63,0,0,65,2,0,1.000,0,0,0,-
84,어준서,키움,유격수,12,12,104 2/3,4,0,17,35,5,0.929,0,0,0,-
84,유토,키움,투수,12,0,8 2/3,0,0,0,2,0,1.000,0,0,0,-
100,박상원,한화,투수,11,0,8 2/3,0,0,1,0,0,1.000,0,0,0,-
100,김민,SSG,투수,11,0,12 1/3,0,0,0,3,0,1.000,0,0,0,-
100,안상현,SSG,2루수,11,6,54,2,0,12,15,7,0.931,0,0,0,-
100,구자욱,삼성,좌익수,11,11,87,1,0,12,0,0,0.923,0,0,0,-
100,미야지,삼성,투수,11,0,10 1/3,0,0,1,0,0,1.000,0,0,0,-
100,배찬승,삼성,투수,11,0,8,0,0,1,1,0,1.000,0,0,0,-
100,이승민,삼성,투수,11,0,11 1/3,0,0,2,3,1,1.000,0,0,0,-
100,이승현,삼성,투수,11,0,9 1/3,0,0,0,0,0,-,0,0,0,-
100,한석현,NC,우익수,11,3,47,0,0,11,0,0,1.000,0,0,0,-
100,김민수,KT,투수,11,0,10 2/3,0,0,0,3,0,1.000,0,0,0,-
100,손동현,KT,투수,11,0,10 2/3,0,0,1,0,0,1.000,0,0,0,-
100,정현창,KIA,2루수,11,1,27,0,0,6,8,0,1.000,0,0,0,-
100,박한결,키움,2루수,11,10,90,1,0,21,29,6,0.980,0,0,0,-
113,김진성,LG,투수,10,0,10,0,0,0,0,0,-,0,0,0,-
