순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,박민우,NC,20,13,11,2,84.6,0,0
2,류지혁,삼성,21,9,8,1,88.9,0,1
2,박찬호,두산,22,8,8,0,100,0,0
4,최정원,NC,19,8,7,1,87.5,0,0
5,박해민,LG,21,6,5,1,83.3,3,0
5,심우준,한화,18,5,5,0,100,0,0
5,김주원,NC,21,5,5,0,100,1,1
5,황성빈,롯데,16,6,5,1,83.3,0,0
9,최원영,LG,15,5,4,1,80.0,0,0
9,페라자,한화,21,4,4,0,100,1,0
9,김지찬,삼성,21,4,4,0,100,0,0
9,허윤,NC,12,4,4,0,100,0,0
9,한태양,롯데,20,4,4,0,100,1,0
9,정수빈,두산,22,4,4,0,100,0,0
9,이주형,키움,20,4,4,0,100,0,0
16,신민재,LG,21,4,3,1,75.0,0,1
16,천성호,LG,20,3,3,0,100,1,0
16,박성한,SSG,21,4,3,1,75.0,0,0
16,최지훈,SSG,21,3,3,0,100,1,0
16,김호령,KIA,22,5,3,2,60.0,0,1
21,홍창기,LG,17,2,2,0,100,0,0
21,오태곤,SSG,17,2,2,0,100,0,0
21,정준재,SSG,19,2,2,0,100,0,0
21,최정,SSG,21,2,2,0,100,0,0
21,박건우,NC,21,3,2,1,66.7,0,0
21,최원준,KT,21,5,2,3,40.0,0,0
21,힐리어드,KT,22,2,2,0,100,1,0
21,장두성,롯데,19,2,2,0,100,1,0
21,박재현,KIA,19,2,2,0,100,0,0
30,문성주,LG,21,2,1,1,50.0,1,0
30,오지환,LG,20,2,1,1,50.0,2,0
30,문현빈,한화,20,2,1,1,50.0,1,1
30,이원석,한화,12,4,1,3,25.0,1,1
30,채은성,한화,21,1,1,0,100,0,0
30,황영묵,한화,7,2,1,1,50.0,0,0
30,고명준,SSG,17,1,1,0,100,0,0
30,김성욱,SSG,21,1,1,0,100,0,0
30,안상현,SSG,14,2,1,1,50.0,1,0
30,이지영,SSG,15,1,1,0,100,0,0
30,채현우,SSG,16,1,1,0,100,0,0
30,한유섬,SSG,19,1,1,0,100,2,0
30,고준휘,NC,4,1,1,0,100,0,0
30,김휘집,NC,16,3,1,2,33.3,2,0
30,데이비슨,NC,20,1,1,0,100,0,0
30,서호철,NC,21,1,1,0,100,1,0
30,배정대,KT,15,2,1,1,50.0,0,0
30,안현민,KT,14,1,1,0,100,1,0
30,유준규,KT,4,1,1,0,100,0,0
30,허경민,KT,7,1,1,0,100,0,0
30,레이예스,롯데,21,1,1,0,100,1,0
30,전민재,롯데,20,1,1,0,100,2,0
30,한동희,롯데,17,1,1,0,100,1,0
30,고종욱,KIA,8,1,1,0,100,0,0
30,김규성,KIA,20,1,1,0,100,0,0
30,김도영,KIA,22,1,1,0,100,0,0
30,데일,KIA,21,1,1,0,100,0,0
30,윤도현,KIA,5,1,1,0,100,0,0
30,박지훈,두산,21,1,1,0,100,0,0
30,안재석,두산,14,1,1,0,100,0,0
30,조수행,두산,15,2,1,1,50.0,0,0
30,카메론,두산,22,1,1,0,100,0,0
30,브룩스,키움,21,1,1,0,100,3,0
30,이형종,키움,18,1,1,0,100,0,0
64,구본혁,LG,20,0,0,0,-,0,0
64,문보경,LG,20,0,0,0,-,0,0
64,박동원,LG,20,1,0,1,0.0,2,0
64,송찬의,LG,4,0,0,0,-,0,0
64,오스틴,LG,21,1,0,1,0.0,1,0
64,이영빈,LG,10,0,0,0,-,0,0
64,이재원,LG,12,0,0,0,-,0,0
64,이주헌,LG,11,0,0,0,-,0,0
64,강백호,한화,21,0,0,0,-,1,0
64,김서현,한화,1,0,0,0,-,0,0
64,김태연,한화,14,0,0,0,-,0,0
64,노시환,한화,14,1,0,1,0.0,0,0
64,박정현,한화,2,0,0,0,-,0,0
64,오재원,한화,18,0,0,0,-,0,0
64,이도윤,한화,15,0,0,0,-,0,0
64,이진영,한화,4,0,0,0,-,0,0
64,장규현,한화,1,0,0,0,-,0,0
64,최유빈,한화,4,0,0,0,-,0,0
64,최인호,한화,9,0,0,0,-,0,0
64,최재훈,한화,16,0,0,0,-,0,0
64,쿠싱,한화,1,0,0,0,-,0,0
64,하주석,한화,19,0,0,0,-,0,0
64,허인서,한화,15,0,0,0,-,0,0
64,김민식,SSG,2,0,0,0,-,0,0
64,김민준,SSG,2,0,0,0,-,0,0
64,김재환,SSG,21,0,0,0,-,0,0
64,석정우,SSG,3,0,0,0,-,0,0
64,에레디아,SSG,21,1,0,1,0.0,1,0
64,임근우,SSG,1,0,0,0,-,0,0
64,전영준,SSG,1,0,0,0,-,0,0
64,조형우,SSG,15,0,0,0,-,0,0
64,최준우,SSG,3,0,0,0,-,0,0
64,홍대인,SSG,9,0,0,0,-,0,0
64,강민호,삼성,20,2,0,2,0.0,1,0
64,구자욱,삼성,13,0,0,0,-,0,0
64,김성윤,삼성,7,1,0,1,0.0,0,0
64,김영웅,삼성,10,0,0,0,-,1,0
64,김재상,삼성,2,0,0,0,-,0,0
64,김재혁,삼성,4,0,0,0,-,0,0
64,김태훈,삼성,2,0,0,0,-,0,0
64,김헌곤,삼성,16,2,0,2,0.0,0,1
64,디아즈,삼성,21,0,0,0,-,1,0
64,박세혁,삼성,12,0,0,0,-,0,0
64,박승규,삼성,10,0,0,0,-,0,0
64,심재훈,삼성,2,0,0,0,-,0,0
64,양우현,삼성,8,0,0,0,-,0,0
64,윤정빈,삼성,1,0,0,0,-,0,0
64,이성규,삼성,4,0,0,0,-,0,0
64,이재현,삼성,18,0,0,0,-,0,0
64,이해승,삼성,15,0,0,0,-,0,0
64,전병우,삼성,15,0,0,0,-,0,0
64,차승준,삼성,1,0,0,0,-,0,0
64,최형우,삼성,21,0,0,0,-,1,0
64,함수호,삼성,11,0,0,0,-,0,0
64,홍현빈,삼성,9,0,0,0,-,0,0
64,권희동,NC,2,0,0,0,-,0,0
64,김정호,NC,7,0,0,0,-,0,0
64,김한별,NC,5,0,0,0,-,0,0
64,김형준,NC,20,0,0,0,-,1,0
64,도태훈,NC,3,0,0,0,-,0,0
64,신재인,NC,17,0,0,0,-,0,0
64,안중열,NC,5,0,0,0,-,0,0
64,오영수,NC,11,0,0,0,-,0,0
64,오장한,NC,1,0,0,0,-,0,0
64,오태양,NC,4,0,0,0,-,0,0
64,이우성,NC,19,0,0,0,-,2,0
64,천재환,NC,18,0,0,0,-,0,0
64,한석현,NC,15,0,0,0,-,0,0
64,한재환,NC,1,0,0,0,-,0,0
64,강민성,KT,1,0,0,0,-,0,0
64,강현우,KT,2,0,0,0,-,0,0
64,권동진,KT,13,0,0,0,-,0,0
64,김민석,KT,1,0,0,0,-,0,0
64,김민수,KT,1,0,0,0,-,0,0
64,김민혁,KT,3,0,0,0,-,1,0
64,김상수,KT,20,1,0,1,0.0,0,0
64,김현수,KT,22,1,0,1,0.0,0,0
64,류현인,KT,15,0,0,0,-,0,0
64,박영현,KT,2,0,0,0,-,0,0
64,안치영,KT,4,0,0,0,-,0,0
64,오윤석,KT,18,0,0,0,-,1,0
64,우규민,KT,2,0,0,0,-,0,0
64,이강민,KT,22,0,0,0,-,0,0
64,이정훈,KT,11,0,0,0,-,0,0
64,장성우,KT,22,0,0,0,-,0,0
64,장준원,KT,7,0,0,0,-,1,0
64,장진혁,KT,5,1,0,1,0.0,0,0
