순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
1,박성한,SSG,0.494,11,18,16,1.13,2,2.57,4.21,0.177,26.4,0.431
2,류지혁,삼성,0.421,10,16,18,0.89,1,1.50,3.96,0.197,21.3,0.387
3,박준순,두산,0.397,9,16,11,1.45,4,0.05,3.27,0.218,16.6,0.346
4,천성호,LG,0.368,5,21,6,3.50,0,0.78,3.79,0.123,11.2,0.323
5,페라자,한화,0.366,10,15,26,0.58,1,1.23,4.09,0.171,20.3,0.341
5,레이예스,롯데,0.366,8,16,25,0.64,0,0.75,3.38,0.220,18.6,0.340
7,고명준,SSG,0.365,9,12,14,0.86,2,0.36,3.28,0.270,14.5,0.344
8,문현빈,한화,0.364,14,20,17,1.18,1,1.25,3.67,0.338,21.0,0.391
9,문성주,LG,0.356,5,18,22,0.82,3,0.78,3.95,0.068,13.4,0.294
10,박민우,NC,0.338,8,18,19,0.95,2,0.92,3.95,0.135,15.9,0.315
11,오스틴,LG,0.333,11,19,28,0.68,3,1.20,3.67,0.286,19.7,0.340
12,김선빈,KIA,0.329,5,29,13,2.23,0,2.67,4.19,0.100,14.7,0.312
13,이우성,NC,0.322,9,15,13,1.15,0,0.67,4.01,0.254,12.7,0.325
14,김호령,KIA,0.318,9,26,16,1.63,0,0.39,3.58,0.125,14.2,0.285
15,김현수,KT,0.316,11,30,23,1.30,2,0.67,3.80,0.179,14.6,0.290
16,최원준,KT,0.311,9,20,26,0.77,1,0.76,3.97,0.111,14.8,0.283
17,노진혁,롯데,0.300,11,11,21,0.52,1,0.56,3.89,0.243,13.9,0.308
17,데일,KIA,0.300,5,29,19,1.53,0,0.89,3.78,0.088,10.5,0.259
19,박찬호,두산,0.296,7,21,19,1.11,0,0.88,3.79,0.111,14.1,0.284
20,한태양,롯데,0.295,3,14,17,0.82,0,0.58,4.00,0.049,9.2,0.256
21,강백호,한화,0.292,9,28,19,1.47,1,0.41,3.86,0.191,14.8,0.274
22,디아즈,삼성,0.289,7,18,27,0.67,1,0.80,4.02,0.157,13.6,0.280
23,최형우,삼성,0.286,7,23,26,0.88,1,2.57,3.98,0.195,15.7,0.313
24,박건우,NC,0.278,9,9,24,0.38,2,0.53,3.54,0.236,13.0,0.293
25,문보경,LG,0.277,5,17,16,1.06,1,1.19,4.13,0.138,13.9,0.300
26,한동희,롯데,0.273,4,21,16,1.31,1,0.36,3.52,0.061,6.2,0.229
27,한준수,KIA,0.269,6,12,20,0.60,1,2.14,4.10,0.192,10.6,0.307
28,이주형,키움,0.268,11,22,21,1.05,3,0.29,3.66,0.195,13.1,0.266
29,최정,SSG,0.267,11,12,25,0.48,2,0.74,3.91,0.240,16.2,0.306
30,김상수,KT,0.266,3,19,22,0.86,2,1.57,4.33,0.047,8.0,0.248
31,카스트로,KIA,0.265,11,24,19,1.26,2,0.21,3.91,0.181,9.5,0.244
32,에레디아,SSG,0.264,8,12,37,0.32,1,0.05,3.51,0.198,10.8,0.237
33,박해민,LG,0.263,4,18,30,0.60,1,0.67,4.05,0.053,9.9,0.231
34,하주석,한화,0.262,1,21,6,3.50,1,0.22,3.53,0.016,5.1,0.208
35,오지환,LG,0.262,4,21,19,1.11,2,1.11,3.83,0.092,10.0,0.256
36,브룩스,키움,0.259,6,17,30,0.57,0,0.86,3.80,0.074,10.9,0.244
37,김형준,NC,0.259,3,10,10,1.00,0,0.43,4.10,0.086,7.8,0.256
38,심우준,한화,0.254,6,18,11,1.64,0,0.53,4.01,0.169,10.1,0.265
39,카메론,두산,0.253,14,13,26,0.50,0,0.08,3.58,0.287,11.7,0.260
40,채은성,한화,0.250,3,19,27,0.70,0,0.44,3.68,0.088,10.2,0.228
40,김지찬,삼성,0.250,4,23,28,0.82,0,2.29,3.59,0.066,12.3,0.254
40,최정원,NC,0.250,0,15,13,1.15,0,0.64,3.96,0.000,7.4,0.234
40,이강민,KT,0.250,1,21,19,1.11,1,0.13,3.38,0.014,4.9,0.190
40,나성범,KIA,0.250,5,17,15,1.13,3,0.52,4.03,0.153,12.0,0.263
40,김건희,키움,0.250,5,16,11,1.45,1,0.33,3.99,0.109,8.3,0.234
46,안치홍,키움,0.247,5,21,20,1.05,0,0.82,4.08,0.065,8.9,0.241
47,장성우,KT,0.247,11,14,22,0.64,2,0.80,4.36,0.315,14.8,0.311
48,김도영,KIA,0.241,10,20,28,0.71,2,0.81,3.55,0.265,14.4,0.283
49,박동원,LG,0.237,5,15,14,1.07,0,0.67,4.03,0.119,9.1,0.253
50,강민호,삼성,0.236,3,10,15,0.67,1,0.53,4.43,0.055,5.6,0.232
51,양석환,두산,0.234,4,6,24,0.25,0,0.33,4.12,0.094,7.6,0.217
52,힐리어드,KT,0.233,7,20,23,0.87,0,0.46,3.67,0.163,13.1,0.241
53,김주원,NC,0.229,5,18,33,0.55,1,0.77,3.93,0.108,11.8,0.237
54,양의지,두산,0.227,6,22,33,0.67,0,1.43,3.83,0.133,11.5,0.243
55,정수빈,두산,0.216,2,22,22,1.00,2,0.71,4.53,0.081,9.4,0.221
56,최주환,키움,0.212,3,19,22,0.86,0,0.33,4.20,0.076,3.9,0.186
57,데이비슨,NC,0.208,6,15,26,0.58,1,0.29,3.98,0.167,8.2,0.222
58,전준우,롯데,0.205,3,24,28,0.86,0,0.64,3.74,0.064,5.4,0.187
59,최지훈,SSG,0.197,8,20,29,0.69,2,0.54,4.33,0.211,9.8,0.228
60,신민재,LG,0.191,0,31,10,3.10,0,0.57,3.97,0.000,3.7,0.172
61,윤동희,롯데,0.190,6,13,21,0.62,1,0.18,3.94,0.190,4.6,0.203
62,노시환,한화,0.169,2,10,16,0.63,0,0.26,4.10,0.068,3.3,0.175
63,홍창기,LG,0.148,2,23,7,3.29,1,0.94,4.71,0.037,6.3,0.209
64,김재환,SSG,0.110,3,23,20,1.15,0,0.74,3.97,0.096,5.5,0.175
