순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,박성한,SSG,0.494,21,99,79,17,39,9,1,1,53,20,0,1,18.0,0.0,1.0,9.0,1.0,0.615,0.541,1.156,13.0,0.565,0.0
2,류지혁,삼성,0.421,21,91,76,18,32,7,1,2,47,14,0,0,15.0,1.0,0.0,16.0,2.0,0.615,0.481,1.096,11.0,0.381,0.0
3,박준순,두산,0.397,20,82,78,8,31,4,2,3,48,14,0,0,3.0,0.0,3.0,21.0,1.0,0.589,0.427,1.016,12.0,0.444,0.0
4,천성호,LG,0.368,20,66,57,12,21,4,0,1,28,8,1,0,8.0,0.0,1.0,10.0,3.0,0.471,0.43,0.901,8.0,0.267,0.5
5,페라자,한화,0.366,21,100,82,21,30,8,0,2,44,13,0,2,18.0,1.0,0.0,15.0,2.0,0.587,0.464,1.051,8.0,0.375,0.0
5,레이예스,롯데,0.366,21,93,82,9,30,3,0,5,48,13,0,1,9.0,2.0,1.0,16.0,2.0,0.531,0.402,0.933,10.0,0.412,0.0
7,고명준,SSG,0.365,17,68,63,9,23,5,0,4,40,12,0,0,,,,,,,,,,,
8,문현빈,한화,0.364,20,94,77,18,28,7,2,5,54,22,0,0,17.0,0.0,2.0,12.0,4.0,0.675,0.48,1.155,7.0,0.381,0.0
9,문성주,LG,0.356,21,86,73,6,26,5,0,0,31,10,2,2,9.0,2.0,2.0,11.0,0.0,0.45,0.441,0.891,8.0,0.429,1.0
10,박민우,NC,0.338,20,87,74,15,25,7,0,1,35,14,0,0,12.0,0.0,2.0,12.0,2.0,0.452,0.424,0.876,9.0,0.44,0.0
11,오스틴,LG,0.333,21,97,84,19,28,4,1,6,52,16,0,1,13.0,1.0,0.0,11.0,1.0,0.612,0.429,1.041,9.0,0.345,0.0
12,김선빈,KIA,0.329,21,88,70,11,23,4,0,1,30,13,0,1,18.0,1.0,1.0,7.0,1.0,0.407,0.436,0.843,7.0,0.348,1.0
