순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
13,이우성,NC,0.322,19,67,59,9,19,6,0,3,34,3,0,0,8.0,0.0,0.0,13.0,1.0,0.537,0.387,0.924,6.0,0.083,0.0
14,김호령,KIA,0.318,22,101,88,14,28,8,0,1,39,10,3,0,8.0,0.0,3.0,22.0,1.0,0.4,0.36,0.76,12.0,0.25,0.0
15,김현수,KT,0.316,22,103,95,14,30,8,0,3,47,20,0,0,10.0,0.0,0.0,15.0,4.0,0.481,0.371,0.852,12.0,0.323,0.0
16,최원준,KT,0.311,21,104,90,16,28,8,1,0,38,11,0,1,13.0,0.0,1.0,19.0,0.0,0.431,0.385,0.816,9.0,0.261,0.0
17,노진혁,롯데,0.3,21,81,70,5,21,8,0,3,38,11,0,1,11.0,0.0,0.0,21.0,1.0,0.524,0.362,0.886,7.0,0.269,0.5
17,데일,KIA,0.3,21,90,80,14,24,4,0,1,31,6,1,1,10.0,1.0,0.0,10.0,4.0,0.375,0.364,0.739,5.0,0.2,1.0
19,박찬호,두산,0.296,22,99,81,21,24,6,0,1,33,6,3,0,16.0,1.0,0.0,18.0,4.0,0.426,0.4,0.826,7.0,0.25,1.0
20,한태양,롯데,0.295,20,70,61,7,18,3,0,0,21,1,1,0,7.0,0.0,1.0,19.0,0.0,0.292,0.325,0.617,3.0,0.111,0.0
21,강백호,한화,0.292,21,97,89,13,26,5,0,4,43,24,0,1,7.0,0.0,0.0,20.0,0.0,0.475,0.339,0.814,10.0,0.469,0.0
22,디아즈,삼성,0.289,21,96,83,15,24,4,0,3,37,15,0,1,13.0,0.0,0.0,15.0,3.0,0.473,0.383,0.856,6.0,0.259,0.0
23,최형우,삼성,0.286,21,98,77,13,22,3,0,4,37,16,0,1,22.0,0.0,2.0,10.0,5.0,0.477,0.441,0.918,4.0,0.2,0.0
24,박건우,NC,0.278,21,82,72,9,20,5,0,4,37,12,0,0,10.0,1.0,0.0,20.0,2.0,0.542,0.376,0.918,9.0,0.28,0.0
25,문보경,LG,0.277,20,87,65,9,18,3,0,2,27,11,0,2,20.0,1.0,1.0,18.0,3.0,0.405,0.431,0.836,5.0,0.4,0.0
26,한동희,롯데,0.273,17,71,66,5,18,4,0,0,22,4,0,0,4.0,0.0,1.0,15.0,4.0,0.308,0.301,0.609,6.0,0.19,0.0
27,한준수,KIA,0.269,21,71,52,9,14,4,0,2,24,8,3,1,15.0,2.0,0.0,9.0,5.0,0.433,0.408,0.841,5.0,0.385,0.0
28,이주형,키움,0.268,20,90,82,12,22,8,1,2,38,12,0,0,5.0,0.0,3.0,17.0,0.0,0.463,0.333,0.796,5.0,0.25,0.0
29,최정,SSG,0.267,21,93,75,13,20,7,1,3,38,9,0,1,15.0,1.0,3.0,22.0,0.0,0.6,0.404,1.004,5.0,0.2,0.0
30,김상수,KT,0.266,20,79,64,6,17,3,0,0,20,6,2,1,15.0,0.0,1.0,9.0,3.0,0.296,0.386,0.682,3.0,0.25,0.0
31,카스트로,KIA,0.265,21,88,83,15,22,9,0,2,37,16,0,1,4.0,0.0,0.0,22.0,4.0,0.42,0.28,0.7,6.0,0.231,0.0
32,에레디아,SSG,0.264,21,93,91,10,24,3,0,5,42,17,0,1,3.0,0.0,0.0,22.0,2.0,0.43,0.269,0.699,7.0,0.314,0.0
33,박해민,LG,0.263,21,88,76,7,20,4,0,0,24,6,2,1,8.0,0.0,3.0,11.0,0.0,0.313,0.337,0.65,5.0,0.2,0.0
34,하주석,한화,0.262,19,66,61,3,16,1,0,0,17,6,1,0,,,,,,,,,,,
35,오지환,LG,0.262,20,78,65,9,17,3,0,1,23,13,0,1,10.0,0.0,2.0,12.0,0.0,0.338,0.352,0.69,5.0,0.381,0.0
36,브룩스,키움,0.259,21,95,81,9,21,6,0,0,27,9,0,1,14.0,0.0,1.0,17.0,1.0,0.308,0.343,0.651,5.0,0.4,0.0
37,김형준,NC,0.259,20,69,58,4,15,2,0,1,20,10,0,0,10.0,0.0,1.0,25.0,2.0,0.328,0.359,0.687,3.0,0.238,0.0
38,심우준,한화,0.254,18,68,59,15,15,4,0,2,25,10,0,0,,,,,,,,,,,
39,카메론,두산,0.253,22,90,87,10,22,8,1,5,47,8,0,0,2.0,0.0,1.0,27.0,4.0,0.531,0.284,0.815,7.0,0.045,1.0
40,채은성,한화,0.25,21,91,80,9,20,1,0,2,27,10,0,2,8.0,0.0,2.0,17.0,2.0,0.314,0.306,0.62,7.0,0.235,0.0
40,김지찬,삼성,0.25,21,95,76,17,19,3,1,0,24,6,0,1,18.0,1.0,2.0,8.0,1.0,0.337,0.391,0.728,6.0,0.375,0.0
40,최정원,NC,0.25,19,68,52,7,13,0,0,0,13,1,5,0,,,,,,,,,,,
40,이강민,KT,0.25,22,77,72,7,18,1,0,0,19,11,1,1,2.0,0.0,1.0,17.0,2.0,0.272,0.282,0.554,5.0,0.348,0.0
40,나성범,KIA,0.25,20,86,72,11,18,2,0,3,29,15,0,1,14.0,0.0,1.0,27.0,0.0,0.432,0.381,0.813,5.0,0.412,0.0
40,김건희,키움,0.25,21,75,64,6,16,4,0,1,23,9,0,3,10.0,1.0,0.0,25.0,3.0,0.352,0.333,0.685,4.0,0.263,0.0
46,안치홍,키움,0.247,21,91,77,5,19,5,0,0,24,4,0,0,15.0,0.0,0.0,18.0,3.0,0.393,0.385,0.778,6.0,0.222,1.0
47,장성우,KT,0.247,22,90,73,16,18,5,0,6,41,19,0,1,19.0,3.0,0.0,22.0,5.0,0.566,0.388,0.954,7.0,0.31,0.5
48,김도영,KIA,0.241,22,98,83,17,20,4,0,6,42,19,0,1,14.0,2.0,2.0,19.0,4.0,0.553,0.351,0.904,4.0,0.37,0.0
49,박동원,LG,0.237,20,74,59,11,14,4,0,1,21,11,0,2,12.0,0.0,1.0,22.0,2.0,0.324,0.337,0.661,2.0,0.148,0.0
50,강민호,삼성,0.236,20,65,55,4,13,3,0,0,16,8,0,0,9.0,0.0,1.0,22.0,1.0,0.262,0.32,0.582,3.0,0.28,0.0
51,양석환,두산,0.234,19,73,64,5,15,3,0,1,21,4,0,2,8.0,1.0,0.0,23.0,0.0,0.329,0.31,0.639,4.0,0.0,0.0
52,힐리어드,KT,0.233,22,101,86,16,20,3,1,3,34,12,0,3,12.0,0.0,0.0,31.0,1.0,0.429,0.301,0.73,7.0,0.233,0.0
53,김주원,NC,0.229,21,97,83,9,19,3,0,2,28,3,0,0,10.0,0.0,5.0,15.0,0.0,0.411,0.373,0.784,7.0,0.125,0.0
54,양의지,두산,0.227,22,94,75,8,17,4,0,2,27,11,0,4,12.0,0.0,6.0,8.0,3.0,0.329,0.336,0.665,2.0,0.158,0.0
55,정수빈,두산,0.216,22,87,74,7,16,0,0,2,22,10,1,0,10.0,0.0,2.0,16.0,0.0,0.31,0.333,0.643,5.0,0.333,0.0
56,최주환,키움,0.212,20,71,66,3,14,2,0,1,19,9,0,1,5.0,0.0,0.0,14.0,5.0,0.301,0.266,0.567,4.0,0.227,0.333
57,데이비슨,NC,0.208,20,81,72,8,15,3,0,3,27,10,0,1,5.0,0.0,4.0,21.0,2.0,0.361,0.29,0.651,3.0,0.318,0.0
58,전준우,롯데,0.205,21,86,78,5,16,2,0,1,21,3,0,1,7.0,0.0,0.0,12.0,2.0,0.326,0.289,0.615,5.0,0.174,0.0
59,최지훈,SSG,0.197,21,87,76,15,15,4,0,4,31,14,1,1,7.0,0.0,2.0,15.0,2.0,0.407,0.281,0.688,4.0,0.261,0.0
60,신민재,LG,0.191,21,78,68,3,13,0,0,0,13,5,2,0,10.0,0.0,0.0,16.0,2.0,0.171,0.267,0.438,2.0,0.304,0.0
61,윤동희,롯데,0.19,17,67,63,3,12,3,0,3,24,7,0,0,,,,,,,,,,,
62,노시환,한화,0.169,14,67,59,7,10,1,0,1,14,4,1,0,6.0,0.0,2.0,26.0,2.0,0.243,0.256,0.499,4.0,0.083,0.0
63,홍창기,LG,0.148,17,72,54,6,8,2,0,0,10,3,0,0,20.0,0.0,3.0,20.0,1.0,0.219,0.391,0.61,2.0,0.188,0.0
64,김재환,SSG,0.11,21,91,73,7,8,1,0,2,15,9,0,1,18.0,0.0,0.0,25.0,2.0,0.195,0.267,0.462,2.0,0.179,0.0
