순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,KT,22,17,0,600,222,24,0.980,0,22,5,18.5
2,두산,22,17,0,585,195,18,0.979,1,12,1,7.7
3,KIA,22,13,0,579,193,13,0.983,2,18,4,18.2
4,키움,22,22,1,575,197,20,0.972,0,14,4,22.2
5,삼성,21,11,0,570,232,19,0.986,3,18,5,21.7
6,한화,21,25,1,564,190,24,0.968,2,9,3,25.0
7,LG,21,12,2,561,202,16,0.985,0,15,6,28.6
8,SSG,21,20,1,558,215,23,0.975,1,10,5,33.3
9,롯데,21,14,2,553,194,13,0.982,1,17,8,32.0
10,NC,21,12,2,549,198,15,0.984,1,11,3,21.4
