순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,NC,21,39,33,6,84.6,7,1
2,LG,21,26,19,7,73.1,10,1
3,SSG,21,21,18,3,85.7,5,0
4,두산,22,19,16,3,84.2,3,1
5,롯데,21,18,14,4,77.8,12,0
6,한화,21,19,13,6,68.4,4,2
7,삼성,21,18,12,6,66.7,4,2
8,KIA,22,12,10,2,83.3,4,2
9,KT,22,15,8,7,53.3,5,0
10,키움,22,6,6,0,100,6,0
