연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2019,KIA,0.300,7,20,20,2,6,2,0,0,8,2,0,0,0,0,2,2,0.400,0.300,0
2023,KIA,0.256,48,94,86,9,22,4,0,2,32,12,0,0,7,0,26,2,0.372,0.312,0
2024,KIA,0.307,115,316,287,39,88,22,0,7,131,41,0,0,21,2,48,7,0.456,0.351,4
2025,KIA,0.225,103,276,244,33,55,12,1,7,90,26,0,0,26,3,48,4,0.369,0.304,3
2026,KIA,0.269,21,71,52,9,14,4,0,2,24,8,0,0,15,0,7,3,0.462,0.426,1
