연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2025,두산,0.284,91,298,282,34,80,11,2,4,107,19,10,2,10,1,56,6,0.379,0.307,24
2026,두산,0.397,20,82,78,8,31,4,2,3,48,14,0,1,1,3,20,1,0.615,0.427,3
