연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2022,롯데,0.148,38,72,61,14,9,1,0,0,10,3,1,0,5,2,24,1,0.164,0.235,5
2025,롯데,0.274,108,267,230,42,63,14,2,2,87,22,3,2,32,2,69,3,0.378,0.367,7
2026,롯데,0.295,20,70,61,7,18,3,0,0,21,1,4,0,7,1,12,0,0.344,0.377,1
