연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2022,KIA,0.237,103,254,224,37,53,11,4,3,81,19,13,3,22,3,62,3,0.362,0.312,13
2023,KIA,0.303,84,385,340,72,103,20,5,7,154,47,25,4,38,1,62,14,0.453,0.371,13
2024,KIA,0.347,141,625,544,143,189,29,10,38,352,109,40,4,66,7,110,10,0.647,0.420,30
2025,KIA,0.309,30,122,110,20,34,9,0,7,64,27,3,0,10,0,23,3,0.582,0.361,5
2026,KIA,0.241,22,98,83,17,20,4,0,6,42,19,1,0,13,1,16,4,0.506,0.347,0
