연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2022,롯데,0.154,4,13,13,1,2,1,0,0,3,1,0,0,0,0,2,1,0.231,0.154,1
2023,롯데,0.287,107,423,387,45,111,18,1,2,137,41,3,6,28,1,69,10,0.354,0.333,4
2024,롯데,0.293,141,613,532,97,156,35,4,14,241,85,7,8,67,7,114,10,0.453,0.376,4
2025,롯데,0.282,97,399,330,54,93,21,1,9,143,53,4,2,49,11,65,12,0.433,0.386,3
2026,롯데,0.190,17,67,63,3,12,3,0,3,24,7,0,1,3,1,17,3,0.381,0.239,0
