연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2019,LG,0.235,81,94,81,25,19,3,0,0,22,5,10,8,8,3,17,0,0.272,0.323,0
2020,LG,0.308,68,32,26,26,8,1,0,0,9,5,8,2,4,0,4,1,0.346,0.400,0
2021,LG,0.130,32,27,23,8,3,0,0,0,3,2,2,1,4,0,6,0,0.130,0.259,1
2022,LG,0.000,14,3,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0.000,0.000,0
2023,LG,0.277,122,331,282,47,78,5,2,0,87,28,37,17,29,1,34,5,0.309,0.344,9
2024,LG,0.297,128,474,387,78,115,11,6,0,138,40,32,11,64,5,47,7,0.357,0.401,11
2025,LG,0.313,135,538,463,87,145,15,7,1,177,61,15,9,62,3,57,7,0.382,0.395,12
2026,LG,0.191,21,78,68,3,13,0,0,0,13,5,3,1,8,0,14,2,0.191,0.276,1
