연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2020,삼성,0.232,135,287,254,47,59,5,1,1,69,13,21,4,24,2,44,1,0.272,0.301,10
2021,삼성,0.274,120,336,296,50,81,6,0,1,90,26,23,4,27,0,31,0,0.304,0.331,19
2022,삼성,0.280,113,429,361,62,101,7,6,0,120,25,25,4,45,2,64,2,0.332,0.361,22
2023,삼성,0.292,99,355,291,59,85,4,2,1,96,18,13,1,48,9,36,1,0.330,0.408,16
2024,삼성,0.316,135,535,453,102,143,16,3,3,174,36,42,4,60,9,40,5,0.384,0.405,3
2025,삼성,0.281,90,373,317,59,89,9,2,0,102,23,22,3,38,5,44,7,0.322,0.364,1
2026,삼성,0.250,21,95,76,17,19,3,1,0,24,6,4,0,16,2,7,1,0.316,0.389,0
