연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2021,LG,0.125,14,19,16,3,2,0,0,0,2,0,2,1,1,1,7,0,0.125,0.222,0
2023,키움,0.326,69,243,215,32,70,13,4,6,109,36,3,1,19,5,53,4,0.507,0.390,0
2024,키움,0.266,115,537,473,82,126,19,3,13,190,60,6,0,49,14,119,4,0.402,0.352,3
2025,키움,0.240,127,514,446,55,107,22,1,11,164,45,15,1,37,28,115,7,0.368,0.337,1
2026,키움,0.268,20,90,82,12,22,8,1,2,38,12,4,0,5,3,17,0,0.463,0.333,2
