연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
2023,SSG,0.323,122,523,473,76,153,29,0,12,218,76,12,8,39,9,75,13,0.461,0.385,5
2024,SSG,0.360,136,591,541,82,195,31,1,21,291,118,4,3,28,13,73,12,0.538,0.399,3
2025,SSG,0.339,96,415,375,46,127,18,0,13,184,54,1,2,31,7,62,9,0.491,0.398,2
2026,SSG,0.264,21,93,91,10,24,3,0,5,42,17,0,1,1,0,19,2,0.462,0.269,1
