순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
1,조수행,두산,130,72,64,8,88.9,2,2
2,정수빈,두산,136,65,52,13,80.0,7,1
3,황성빈,롯데,125,61,51,10,83.6,6,4
4,박해민,LG,144,56,43,13,76.8,4,4
5,김지찬,삼성,135,46,42,4,91.3,1,2
6,김도영,KIA,141,44,40,4,90.9,5,1
7,신민재,LG,128,43,32,11,74.4,7,0
7,최지훈,SSG,125,37,32,5,86.5,2,0
7,박민우,NC,121,39,32,7,82.1,6,4
10,김혜성,키움,127,36,30,6,83.3,6,1
11,오태곤,SSG,117,31,27,4,87.1,0,1
12,최원준,KIA,136,30,21,9,70.0,3,1
12,송성문,키움,142,21,21,0,100,3,1
14,박찬호,KIA,134,33,20,13,60.6,4,1
15,오지환,LG,108,21,17,4,81.0,4,0
16,정준재,SSG,88,21,16,5,76.2,4,0
16,김주원,NC,134,22,16,6,72.7,5,0
16,강승호,두산,140,21,16,5,76.2,3,0
16,이유찬,두산,103,22,16,6,72.7,5,1
20,하재훈,SSG,107,17,15,2,88.2,1,0
21,장두성,롯데,71,17,14,3,82.4,2,0
21,장진혁,한화,99,20,14,6,70.0,0,2
23,문성주,LG,96,20,13,7,65.0,5,0
23,박성한,SSG,137,16,13,3,81.3,4,1
23,소크라테스,KIA,140,18,13,5,72.2,11,1
23,구자욱,삼성,129,17,13,4,76.5,10,1
27,오스틴,LG,140,20,12,8,60.0,6,1
28,최승민,LG,57,18,11,7,61.1,1,2
28,류지혁,삼성,100,15,11,4,73.3,4,1
30,홍창기,LG,139,21,10,11,47.6,8,1
30,김성욱,NC,129,14,10,4,71.4,0,1
32,배정대,KT,113,16,9,7,56.3,4,1
32,김영웅,삼성,126,11,9,2,81.8,1,0
32,이성규,삼성,122,11,9,2,81.8,1,0
35,구본혁,LG,133,12,8,4,66.7,4,0
35,박지환,SSG,76,11,8,3,72.7,4,0
35,이지영,SSG,123,9,8,1,88.9,0,0
35,천재환,NC,89,10,8,2,80.0,3,0
35,이원석,한화,87,10,8,2,80.0,4,0
40,문보경,LG,144,13,7,6,53.8,2,2
40,심우준,KT,53,8,7,1,87.5,1,0
40,천성호,KT,75,7,7,0,100,2,1
40,최정원,NC,65,10,7,3,70.0,4,0
40,전민재,두산,100,10,7,3,70.0,4,0
40,이우성,KIA,112,8,7,1,87.5,5,0
40,손호영,롯데,102,11,7,4,63.6,2,2
40,윤동희,롯데,141,15,7,8,46.7,8,0
40,페라자,한화,122,12,7,5,58.3,5,0
49,김현수,LG,137,7,6,1,85.7,7,1
49,최원영,LG,57,10,6,4,60.0,1,1
49,강백호,KT,144,8,6,2,75.0,6,0
49,문상철,KT,125,7,6,1,85.7,1,1
49,최경모,SSG,50,9,6,3,66.7,0,0
49,손아섭,NC,84,8,6,2,75.0,4,0
49,노시환,한화,136,6,6,0,100,3,0
49,이도윤,한화,134,10,6,4,60.0,2,1
49,이주형,키움,115,6,6,0,100,2,0
58,장성우,KT,131,5,5,0,100,3,0
58,조용호,KT,60,6,5,1,83.3,1,1
58,최정,SSG,129,6,5,1,83.3,4,0
58,추신수,SSG,78,6,5,1,83.3,3,0
58,양석환,두산,142,8,5,3,62.5,2,0
58,허경민,두산,115,6,5,1,83.3,3,0
58,김선빈,KIA,116,6,5,1,83.3,1,0
58,홍종표,KIA,100,7,5,2,71.4,0,0
58,고승민,롯데,120,9,5,4,55.6,6,0
58,레이예스,롯데,144,5,5,0,100,5,1
58,김태연,한화,126,7,5,2,71.4,5,0
58,이상혁,한화,43,7,5,2,71.4,0,1
70,김민혁,KT,115,6,4,2,66.7,3,0
70,황재균,KT,137,10,4,6,40.0,4,0
70,에레디아,SSG,136,7,4,3,57.1,7,0
70,권희동,NC,123,4,4,0,100,3,1
70,김휘집,NC,140,7,4,3,57.1,4,2
70,박건우,NC,89,4,4,0,100,0,0
70,박세혁,NC,82,4,4,0,100,1,0
70,제러드,두산,38,4,4,0,100,3,0
70,이창진,KIA,103,7,4,3,57.1,1,0
70,박승욱,롯데,139,9,4,5,44.4,7,0
70,김재상,삼성,35,4,4,0,100,1,0
70,김헌곤,삼성,117,6,4,2,66.7,1,0
70,박병호,삼성,120,4,4,0,100,1,0
70,안주형,삼성,82,6,4,2,66.7,2,0
70,황영묵,한화,123,11,4,7,36.4,2,0
85,김상수,KT,113,5,3,2,60.0,1,0
85,고명준,SSG,106,7,3,4,42.9,1,1
85,박시원,NC,55,3,3,0,100,1,1
85,라모스,두산,80,6,3,3,50.0,4,0
85,여동건,두산,9,3,3,0,100,2,0
85,김호령,KIA,64,5,3,2,60.0,1,0
85,서건창,KIA,94,4,3,1,75.0,5,0
85,김동혁,롯데,39,4,3,1,75.0,0,2
85,김민석,롯데,41,4,3,1,75.0,0,0
85,전준우,롯데,109,4,3,1,75.0,3,1
85,강민호,삼성,136,3,3,0,100,7,0
85,김성윤,삼성,32,4,3,1,75.0,0,0
85,문현빈,한화,103,8,3,5,37.5,4,1
85,안치홍,한화,128,5,3,2,60.0,2,0
85,최인호,한화,82,3,3,0,100,3,0
85,박수종,키움,80,3,3,0,100,2,0
101,김대원,LG,19,3,2,1,66.7,1,0
101,안익훈,LG,37,2,2,0,100,0,0
101,로하스,KT,144,3,2,1,66.7,7,0
101,신본기,KT,84,2,2,0,100,0,0
101,김성현,SSG,71,2,2,0,100,0,0
101,최상민,SSG,43,3,2,1,66.7,0,0
101,박영빈,NC,19,3,2,1,66.7,0,0
101,한석현,NC,40,3,2,1,66.7,1,0
101,박준영,두산,65,2,2,0,100,1,0
101,양의지,두산,119,3,2,1,66.7,8,0
101,김재혁,삼성,35,4,2,2,50.0,2,0
101,김현준,삼성,79,2,2,0,100,1,0
101,이재현,삼성,109,3,2,1,66.7,2,0
101,정은원,한화,27,2,2,0,100,1,0
101,도슨,키움,95,4,2,2,50.0,5,0
101,박주홍,키움,25,2,2,0,100,0,0
101,원성준,키움,51,2,2,0,100,0,0
101,이용규,키움,60,4,2,2,50.0,3,0
119,박동원,LG,130,1,1,0,100,6,0
119,송찬의,LG,10,1,1,0,100,0,0
119,김창평,SSG,6,1,1,0,100,0,0
119,안상현,SSG,37,2,1,1,50.0,0,0
119,정현승,SSG,23,1,1,0,100,1,0
119,도태훈,NC,100,1,1,0,100,1,0
119,서호철,NC,141,4,1,3,25.0,9,0
119,김대한,두산,61,2,1,1,50.0,3,0
119,김재환,두산,136,2,1,1,50.0,1,0
119,박계범,두산,24,1,1,0,100,1,0
119,전다민,두산,25,2,1,1,50.0,1,0
119,홍성호,두산,15,1,1,0,100,0,0
119,김규성,KIA,27,1,1,0,100,0,0
119,변우혁,KIA,69,1,1,0,100,1,0
119,윤도현,KIA,6,1,1,0,100,0,0
119,최형우,KIA,116,2,1,1,50.0,1,0
119,나승엽,롯데,121,1,1,0,100,3,0
119,정훈,롯데,109,2,1,1,50.0,2,1
119,추재현,롯데,2,1,1,0,100,0,0
119,맥키넌,삼성,72,1,1,0,100,2,0
119,윤정빈,삼성,69,4,1,3,25.0,0,0
119,박상언,한화,27,1,1,0,100,0,0
119,채은성,한화,124,2,1,1,50.0,6,0
119,하주석,한화,64,3,1,2,33.3,2,0
119,김재현,키움,110,2,1,1,50.0,0,0
119,이형종,키움,35,1,1,0,100,1,0
119,임병욱,키움,42,1,1,0,100,0,0
146,김대현,LG,3,0,0,0,-,0,0
146,김정율,LG,19,0,0,0,-,0,0
146,김범석,LG,70,0,0,0,-,1,0
146,김성우,LG,4,0,0,0,-,0,0
146,김성진,LG,14,0,0,0,-,1,0
