순위,팀명,G,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
1,KIA,144,146,7,3864,1400,133,0.973,10,108,31,22.3
2,KT,144,116,10,3853,1279,110,0.978,14,142,38,21.1
3,두산,144,84,9,3851,1263,109,0.984,15,97,28,22.4
4,삼성,144,81,3,3848,1252,105,0.984,8,114,50,30.5
5,롯데,144,123,10,3842,1411,143,0.977,3,89,36,28.8
6,LG,144,102,5,3831,1348,135,0.981,10,126,40,24.1
7,NC,144,108,8,3827,1312,115,0.979,8,86,51,37.2
8,한화,144,105,5,3824,1324,132,0.980,12,110,43,28.1
9,키움,144,104,2,3818,1309,129,0.980,10,117,40,25.5
10,SSG,144,119,5,3809,1336,123,0.977,11,119,40,25.2
