날짜,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
20240323,1,LG,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20240323,1,SSG,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20240323,1,NC,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20240323,1,KIA,1,1,0,0,1.000,0,1승0무0패,1승,1-0-0,0-0-0
20240323,1,삼성,1,1,0,0,1.000,0,1승0무0패,1승,0-0-0,1-0-0
20240323,6,KT,1,0,1,0,0.000,1,0승0무1패,1패,0-0-1,0-0-0
20240323,6,두산,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20240323,6,롯데,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20240323,6,한화,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20240323,6,키움,1,0,1,0,0.000,1,0승0무1패,1패,0-0-0,0-0-1
20240324,1,SSG,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20240324,1,KIA,1,1,0,0,1.000,0.5,1승0무0패,1승,1-0-0,0-0-0
20240324,1,삼성,2,2,0,0,1.000,0,2승0무0패,2승,0-0-0,2-0-0
20240324,4,LG,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20240324,4,NC,2,1,1,0,0.500,1,1승0무1패,1패,1-0-1,0-0-0
20240324,4,두산,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20240324,4,한화,2,1,1,0,0.500,1,1승0무1패,1승,0-0-0,1-0-1
20240324,8,KT,2,0,2,0,0.000,2,0승0무2패,2패,0-0-2,0-0-0
20240324,8,롯데,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20240324,8,키움,1,0,1,0,0.000,1.5,0승0무1패,1패,0-0-0,0-0-1
20240326,1,KIA,2,2,0,0,1.000,0,2승0무0패,2승,2-0-0,0-0-0
20240326,2,LG,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0
20240326,2,SSG,3,2,1,0,0.667,0.5,2승0무1패,1패,2-0-1,0-0-0
20240326,2,NC,3,2,1,0,0.667,0.5,2승0무1패,1승,2-0-1,0-0-0
20240326,2,두산,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1
20240326,2,삼성,3,2,1,0,0.667,0.5,2승0무1패,1패,0-0-0,2-0-1
20240326,2,한화,3,2,1,0,0.667,0.5,2승0무1패,2승,0-0-0,2-0-1
20240326,8,KT,3,0,3,0,0.000,2.5,0승0무3패,3패,0-0-3,0-0-0
20240326,8,롯데,3,0,3,0,0.000,2.5,0승0무3패,3패,0-0-0,0-0-3
20240326,8,키움,2,0,2,0,0.000,2,0승0무2패,2패,0-0-0,0-0-2
20240327,1,KIA,3,3,0,0,1.000,0,3승0무0패,3승,3-0-0,0-0-0
20240327,2,NC,4,3,1,0,0.750,0.5,3승0무1패,2승,3-0-1,0-0-0
20240327,2,두산,4,3,1,0,0.750,0.5,3승0무1패,3승,0-0-0,3-0-1
20240327,2,한화,4,3,1,0,0.750,0.5,3승0무1패,3승,0-0-0,3-0-1
20240327,5,LG,4,2,1,1,0.667,1,2승1무1패,1승,2-1-1,0-0-0
20240327,5,삼성,4,2,1,1,0.667,1,2승1무1패,1패,0-0-0,2-1-1
20240327,7,SSG,4,2,2,0,0.500,1.5,2승0무2패,2패,2-0-2,0-0-0
20240327,8,KT,4,0,4,0,0.000,3.5,0승0무4패,4패,0-0-4,0-0-0
20240327,8,롯데,4,0,4,0,0.000,3.5,0승0무4패,4패,0-0-0,0-0-4
20240327,8,키움,3,0,3,0,0.000,3,0승0무3패,3패,0-0-0,0-0-3
20240328,1,KIA,3,3,0,0,1.000,0,3승0무0패,3승,3-0-0,0-0-0
20240328,2,한화,5,4,1,0,0.800,0,4승0무1패,4승,0-0-0,4-0-1
20240328,3,LG,5,3,1,1,0.750,0.5,3승1무1패,2승,3-1-1,0-0-0
